id	prediction	reference	chrfpp_sentence
0	Se siuatsintli ika xomberoj xochijyo kitlachixtok se tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	25.6403
1	Se tlakatsintli ika xonbelo uan youak tlakemitl motlalijtok ipan se tetl.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	27.9572
2	Se tlakatl ika iztak tlakemitl tlajtoa ipan se kuauhtlapechtli.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	23.9695
3	Ome tlakamej motlalilijkej se tlatlaliloli. Se tlakentok ika se tlakemitl ika xochijyo, okse ika se tlakemitl tliltik.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	29.7314
4	Seki tlakamej uan siuamej motekouiaj ipan se tlauik karro.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	19.3312
5	Yexochimej siuamej ika intlakentzin tlachijchiujtli kipixtokej vasos de plástico.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	23.1061
6	Se ouatla inauak kuajyo uan se tepamitl ika kuauhtlapalmej.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	22.6744
7	Se makuextli kikuijtok se kuetzpalin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	12.7517
8	Se pitsauaxochitl ika istak petalyo uan xoxoktik xiuitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	32.5971
9	Se kuauhmamaitl ika xoxoktik xiuitl uan kostik xochitl.	Seki uajxilxochitl tlen yikin kueponij.	21.4304
10	Se xochitl chichiliztak ika ixiujyo xoxouik.	Se gladiolajxochitl non achtsin youakik.	24.8640
11	Se kostikxochitl ika miakej iixochiyo uan xoxoktik xiuitl, inauak se tepamitl.	Se kualtsin senpoalxochitl non melajka xochitl.	25.0342
12	Se ojtli tlen tlakoloua uan katej seki kalmej uan olochkuauitl tlen okintepankej.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	17.7663
13	"Se xochitl tlen kiluiaj ""kuaxiloxochitl"" ipan se kuaxiloxihuitl."	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	22.6882
14	Se xochitl tlen morado uan kostik, pilkatok ipan se kuoujyo.	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	24.6748
15	Se xoxouik tlaltikpak ika kuajyo, uan ik uejka tepeyo ika se sitsintli sepayauitl. Tlachipauak.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	32.5018
16	Nahui tlakamej tlatlakualchijchiuaj. Se tlakatl kikuaxochtilantok se xikoli, okse kipixtok se uaxkaxitl. Ome siuamej kiteteki kilitl.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	33.4640
17	Se siuatsintli ika ihueyipil xochijyo tlaxochijkuilolli, kitemoa nakatl ipan se kuauhtlapantli.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	33.3933
18	Kuajyo ika kuapalak uan seki xikojtli.	Se xonokuauitl ika xonokuilmej.	18.2132
19	Se tepeyo ika kuajyo uan tlamixtentok.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	19.6529
20	Se tlakatsin nemi ipan se ojtli tlen tlalli uan xiuitl ijtik se kuautla.	Se siuatsintli nemi ipan se teyo ojtli kanin kuajyo.	39.8214
21	Se kuauhtlatsakuil inauak se tepetl. Tlamixtentok.	Se tepetsintli kiyaualojtok kuautitlamitl uan semi tlamixtentok.	31.0228
22	Sekimej maseualmej tlachixtokej se tianquiztli.	Itech se mantajkaltsintli kintetliokolilia tlakuali akinmej uejka uitsej. Nochtin motlakentiaj ika inmialtepetsotsol.	10.8962
23	Se ixtlauaktsintli inauak tepeyo. Ik uejka kajki se altepetl.	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok tepeyo uan mixtli.	31.6992
24	Se xochitl tlen kostik uan chichiltik.	Se kostik senpoalxochitl.	38.6855
25	Se pitsauaxochitl ika makuili ixochiyo uan istak iixochiyo.	Se matlalxochitl kualtsin uan se non yopitsuakik.	25.4362
26	Se atlauhtli temoya ipan se tetl ika mosko.	Se ameyali uetsi ipan temej ijtik tepetl.	21.9192
27	Se camohtli non kipiya iyollo iixiptlayo.	"Seki tlalkamojtli uan se motasneki ken se ""yolotl""."	13.0883
28	Se ameyali atl pano inintlan temej uan xiuitl.	Se ueyatsintli ika temej tlen ipan tlapajpakaj.	24.7176
29	Sekimej tlakamej kitlachiliaj se kuauhtekaxitl itech se pantheon.	Seki altepetlakamej uan topilmej kitookaskej akin omomikili. Katej itlanpa se kuauitl uan ik uejka kajki se tepetl ika se ojtli itlajkotia.	18.4540
30	Se kuetzpalin ika xiuhtik ikuitlapil motlaloa ipan se tetl.	Se topiltsi okiski omototonito ipan se tetl.	38.4704
31	Se ateskatl xoxoktik kinextia ilhuikak uan kuajyo.	Se ateskatl inauak se kali. Kiyaualojtok kuajyo.	38.0650
32	Se atoyatl ika xoxouik atl, kiyaualojtok kuajyo uan mixtli.	Ateskatl ika ateskilitl inauak kuajyo.	31.7707
33	Se siuatsintli ika xochitlaken, se xochikamisatsintli uan se xochikueyatl, motekipachojtok itech se ueyi kuauitl.	Se siuatsintli ika itlaken xochijyo itlanpa se aueuetl uejkapantik.	39.7436
34	Se ima kipixtok se xiuitl ika xoxoctic ixiujyo.	Serakilitl, xokok uan uelik ika se tlaxkali.	17.3649
35	Seki xochitl chichiltik ika xoxoctic ixiujyo.	"Xiuitl non kiluiaj ""kajkauapajtli"" uan tlapaleuia ijkuak ikaj aminajtok."	8.8894
36	Ipan se tliltik tepuzcaxitl motzoyonia chichiltik chilhuakki ika comino uan okseki tlamantli.	Seki soyonkej chilmej.	15.2400
37	Se milpan tlen uejueyia uan xoxouik, kiyaualojtok kuajyo uan tepeyo.	Se gladiolajtooktli inauak se mila. Ik uejka tepeyo uan tlamixtentok.	25.4536
38	Se kuauhtli ika selikxiujyo moteca ipan se xoxoktik tlali.	Se mamayotsintli kinextia yankuik xiuitl.	21.6720
39	Se koatl tlen tlaxochijyo kinextia itzalan xiuitl uan talcuechactzin itlan se kuauhtli tlen mosojyotok.	"Se kouatl non kiliaj ""palanka""."	17.0745
40	Se tepetl ika miak xiuitl uan seki kalmej. Tlachipajtok iluikak.	Miakej kalmej ipan tepetl.	32.2236
41	Se kuautlamantli xoxouik ipan tlalli tlen tlajsolojtok.	Se mantis ipan tlali.	35.4266
42	Se tlakatl ika xochitlakemitl nemi ipan se ojtli kanin tepetl.	Se tlakatsin non otekipanoto mokopa icha ijkuak yitlayoua ik tepetl.	28.1391
43	Se chichiltik xochitl non kualtsin uan tlanextia.	Seki buganbiliajxochitl.	24.1494
44	Se ameyalotl ipan se xiuitl.	Se tokatsin ipan se omikilitl.	31.8662
45	Se xochitl ika kamojtlapalxochitl uan xoxoktik ixiujyo.	Se pitsauaxochitl non yopejki pitsuaki.	22.6293
46	Se pitsauaxochitl non yopejki pitsuaki.	"Se xochitl tlen kiluiaj ""pitsauaxochitl""."	35.1715
47	Se ojtli kiyaualojtok kalmej uan kuajyo.	Se ojtli tlen tlakoloua uan katej seki kalmej uan olochkuauitl tlen okintepankej.	27.1547
48	Se ueyi kuauhtontli tlen okintepankej itlanpa se tepamitl.	Miak olochkuauitl okintepankej inauak se tepankali..	36.0224
49	Se tlakatsintli motlakentok ika tliliuik tlakemitl moseuijtok itech se kalixkuaitl.	Se tenantsin ika ialtepetlaken kichixtok karro kaltentli, ojtenpa.	24.3572
