idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un río sereno refleja las rocas y vegetación de un cañón escarpado bajo un cielo claro.	Há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+	Aitá há puye háne tsiere tek+a huyé tiuka háne mana te+teri memeuka neniere kiekari muwa heye mamaku.	4714,4371,2042,3869,7987,1582,5006,4491,8596,8427,2832,7841,2806,3875,4272,548,5408,2775,2275,1895,2829,8642,4884,5140,4626,8333,1378,103,1191,4477,6381,4441,1670,1853,5305,3558,2333,495,7933,5131	41,1,10,12,26,35,43,46,48,2,6,9,27,32,34,37,39,44,45,47	3088	120	3208	
1	Un sendero de tierra serpentea por una ladera rocosa, con escalones de piedra que descienden hacia un valle seco y montañoso bajo un cielo azul claro.	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	Huyé wixarika húyeya m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	4221,3624,4371,8596,548,2042,5709,3869,2153,3558,4491,3524,7224,3875,5899,1582,14,8192,8909,6717,2832,5832,6188,7023,5305,4714,6692,168,5827,4707,5069,3159,210,1718,4441,4286,2921,461,7653,2775	12,3,37,43,45,48,9,39,46,2,6,10,26,34,35,42,47,49,4,8	3219	33	3252	
2	Roca desnuda y fragmentada en una ladera escarpada bajo un cielo azul claro.	Tete xeik+a m+xuawe turuki m+ka heuta háke tsie nait+ aix+ p+ ka tiu ane.	Huyé muye hápane ya xeik+a aitá, yá p+ré huyé wixarika ya pauka muyé aník+.	3624,298,1932,2806,2042,3869,8234,14,8644,1582,7169,6306,4371,4818,5832,2951,4714,3524,1968,3153,7295,3985,8596,2073,101,5422,6773,4491,7841,6171,6533,2520,2343,6573,4736,3419,1595,8642,2440,5899	1,10,12,35,43,46,47,48,6,27,34,37,39,41,49,0,3,4,17,18	3132	33	3165	
3	Un sendero de tierra y piedras serpentea entre una cabaña de adobe con techo de paja y una casa pintada de azul con reja metálica, bajo la sombra de montañas rocosas.	Huyé atewa m+k+ wixarika, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m	Kiekari mukumáne huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	2305,6809,6523,2552,7953,2261,6188,461,5277,7133,999,644,7023,624,855,7355,3547,8415,3046,1322,1120,6773,3309,1619,3803,8484,6623,3071,4673,8864,548,4639,6692,4371,4438,1043,8424,7711,7577,6654	37,48,1,17,26,27,42,12,43,45,9,15,30,34,35,4,10,21,24,32	3274	120	3394	
4	Una mujer con vestido estampado y mochila sostiene a un niño mientras observa un autobús blanco con daño en la parte frontal, estacionado en una carretera de tierra junto a una ladera arbolada.	Xewit+ y+xa+yeme, mutsira, nunutsi, xeime kaxu tuxame, huyé, turuki.	Turuki m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	6170,2073,519,1466,461,837,4707,1718,3895,4080,6906,3239,1083,6736,6188,7228,7804,7599,443,3921,4286,1066,2205,855,8377,745,3377,3007,6415,3481,2236,7585,8934,2343,3517,8558,7143,5751,3778,6623	8,26,37,42,47,48,1,3,6,12,13,15,16,17,24,32,34,35,36,43	3420	33	3453	
5	Dos personas llevan un cartel con una imagen del Papa Benedicto XVI frente a una iglesia con dos torres y un edificio rojo, en una calle con semáforo y vehículos.	Huta te+teri me m+tiu k+ka xeime cartel Papa Benedicto XVI m+tiu k+ka, xeime iglesia muku ut+ka heiwaka tsaturi me muku ut+ka, xeime edificio xetame, xeime calle semáforo meta vehículos.	Teyupanie titetewat+ mu ku út+ka kiekari tsie tsepá kewa yak+ m+yeyeu ya xeik+a ám+yeyeu tsie muwa tsiere p+ rá yu ye xeiya.	3921,4707,1718,5499,6601,524,755,6625,7528,461,6170,5131,3481,6188,664,4760,745,2778,2594,2320,1084,7503,4116,1066,8558,3517,3007,6096,1828,8377,2613,6474,2205,1620,610,7143,6809,6803,3194,3152	30,49,17,36,4,6,7,13,37,48,8,14,15,16,18,24,29,31,32,34	3369	64	3433	
6	Un vendedor empuja un carrito de comida por una plaza con edificios y árboles, mientras personas caminan o se sientan en bancos bajo un cielo nublado.	Tewi m+k+net+we karito ti ikuai, teyupanie ti tetewat+ me m+ wara ye xeiya.	Kiekari m+tama te+teri me mayu ti xexe+riwa hi pat+ me xeiya ya xeik+a me xeiya tatuwani mewa yeka.	8596,2022,3869,2806,4371,3640,2153,7157,2042,103,1718,7841,5131,1582,548,4512,6601,3216,4491,7466,5827,461,648,7224,4714,5765,6842,8887,8642,2829,3921,8372,4707,3567,4471,3624,3558,2343,2510,2073	49,47,24,34,1,12,17,21,27,31,32,44,45,46,4,7,10,26,33,35	3348	36	3384	
7	"Una calle estrecha con tiendas de persianas rojas y un letrero que dice ""AMADO NERVO"", donde personas caminan y una vendedora con traje tradicional atiende un puesto."	Kiekari m+tama ti xexe+riwa, xamaru t+a, meteta mariet+ kem+ti ku xaxatsiwa.	Teiwarit+a wixaritari mem+ tama ya xeik+a heiwa muwa meuyeneni te meu uwa heiwa yu ku aitanet+ heiwa yu ku há rerutanet+ mana tá kemari tsie puyu hek+a.	3921,4707,6170,1718,6188,7528,461,2921,304,3007,1608,2320,548,524,755,2272,6509,716,3481,7023,4760,8896,3558,1084,6809,3895,4149,88,2153,5305,2261,6692,8570,7370,8456,7585,5827,8558,6723,6607	30,6,18,49,1,5,8,12,17,42,48,3,4,13,15,24,32,34,44,45	3287	34	3321	
8	Un taxi amarillo circula por una carretera junto a una fábrica con chimeneas que emiten humo, rodeada de palmeras y cercada.	Taxi amarillo m+tiu mieme huyé, ya xeik+a fábrica m+tiu háke, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe,	Há tsukari ma wewiya kiekari hix+apa ya xeik+a mana uwá p+ tuiyane turuki tsixi wa hetsie wa+ kawat+, taxari manuye k+ka ya witárita.	519,6906,4707,7953,7804,7224,1466,6188,2272,6509,8192,4286,1211,1718,5203,8896,4375,3895,3007,1083,2359,2744,716,55,8874,6931,1066,548,3921,4810,7023,6170,1357,682,3481,461,5222,8558,7986,6809	4,42,1,12,13,15,30,32,6,7,16,26,45,47,48,49,3,5,17,18	3343	120	3463	
9	Un sendero serpentea por las laderas de montañas secas bajo un cielo azul con nubes dispersas.	Huyé wixarika m+ya ke m+tikuyeika, h+ritsie, turuki, metá tsiere tewáxi mana me muk+k+ka.	Turuki huyeya yemuri ut+a kwauxa tsie reyetewakaku kiekari mukutetewa ya tiu anekaku meuyeneni.	4221,8596,4714,3624,2042,5469,3869,4371,1582,5006,4491,1043,2153,5832,7527,3524,5232,1619,4388,1683,940,7841,2806,6692,5069,5827,4624,3558,3547,5174,5131,2236,8741,8233,997,7169,3875,8887,8415,7224	1,12,3,43,45,48,10,21,35,37,42,6,26,31,32,33,34,39,44,46	3248	41	3289	
10	Un cercado de madera seca en primer plano, con montañas verdes y ondulantes al fondo bajo un cielo azul claro.	Huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Huyé tek+a mu ku hápane heiwa neniereme temayeit+wa yemuri aitá, hát+a, aki ut+a nait+ m+tá hek+a.	3624,1879,8596,4867,4371,1043,7841,8543,2042,3869,2806,5131,1582,5832,4491,1968,4714,3524,4803,5437,7468,2008,290,1489,2829,1718,2194,7653,3435,7527,2415,3954,8234,7689,4467,3558,2921,2021,2153,6002	48,34,21,32,35,39,44,46,1,12,17,37,45,2,3,6,9,11,24,42	3212	62	3274	
11	Un árbol con ramas extendidas sobre un terreno rocoso, con montañas en el fondo bajo un cielo parcialmente nublado.	Kiekari k+ye x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka	Kwáta wixarika ikwaiya yeuta h+ritsie m+ xuawe war+kariet+ yan+st+ni y+y+rit+ máyu kwáa.	8596,2806,6520,6376,4371,5131,6773,1718,103,1489,4982,3500,1879,2042,3869,997,1582,4707,2153,6002,2320,3249,5100,8789,3949,7744,7283,2921,6934,7653,1043,1262,6292,7257,3558,6692,7333,7068,6803,6723	21,34,10,26,31,32,46,48,6,28,35,44,47,49,9,12,17,27,33,37	3266	120	3386	
12	Un camino de tierra serpentea por una ladera montañosa bajo un cielo azul con nubes dispersas, rodeado de vegetación seca y líneas eléctricas que cruzan el horizonte.	Huyé wixarika m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	3624,5709,1022,14,8596,4371,1453,6533,7224,4491,8390,3524,2042,3869,548,8192,2153,5069,4388,6188,3558,6773,1582,8766,1683,7104,2061,7023,5006,3567,1143,907,2806,4714,5943,5832,4286,2921,7653,8642	1,37,43,3,9,26,34,42,45,47,48,49,6,10,35,41,46,2,4,8	3219	46	3265	
13	Dos bolsas de plástico cuelgan de una pared de adobe, junto a un nicho con frascos y envases.	Yu hutame kemarite ti utá wapait+ tiuye yetsa ya xeik+a m+ tiu ti +xa tsie yu kemarite.	Wixarika im+arieya utsiet+ uti xainék+ ya xeik+a kemarite tiuti t+nirék+.	6794,3099,664,6906,5839,5222,519,1828,5730,2613,4286,349,6111,7804,1405,2305,1234,7402,4753,8843,5289,4707,2094,7023,6188,548,1621,461,3558,6582,1602,8956,7585,6692,6623,6809,6617,817,1887,8484	15,4,8,16,30,32,42,5,17,31,45,48,49,1,3,6,7,12,14,18	3401	34	3435	
14	Sacos y cajas apilados en un rincón de paredes desgastadas, con bolsas colgando del techo.	Kurtariteta ya xeik+a kaxeta muku ut+ka, ixumeri m+ti xuawe, ya xeik+a im+arieya utsiet+ uti xainék+.	Ikwaite, kemarite, im+arite, tinait+ ti ut+t+ nunutsi m+ kauti axe tsie.	5131,8526,5839,711,4387,6736,5299,4773,6443,4841,1513,8014,5709,5847,290,1718,1489,1913,813,461,7585,7653,4086,2637,7257,6692,6002,5436,5902,5827,3320,5751,2829,8789,6044,3558,2921,443,8370,7974	17,22,23,35,37,4,5,6,10,13,18,24,34,36,42,46,47,49,1,3	3441	45	3486	
15	Ropa y un bolso bordado cuelgan de una pared de adobe bajo un techo de teja, junto a un balde con una jarra roja.	Pinita meta kutsiuri m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Wixarika yu kie ya p+ ti utá wapait+ tiuye yetsa ya xeik+a m+ tiu ti +xa tsie yu kemarite.	548,4929,4286,519,4371,4707,7023,2950,3309,6188,4491,5305,3875,6906,461,3558,6623,6058,8596,7577,2042,3869,3895,7585,3007,8484,1718,201,6794,6601,2832,4267,3921,1687,6170,1466,1608,4149,4441,514	13,42,3,17,32,4,8,24,27,30,37,45,48,1,6,12,16,26,29,31	3453	55	3508	
16	Una persona con vestimenta colorida separa granos de maíz en un recipiente, junto a otros recipientes de plástico sobre un suelo de tierra.	Tewi m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Ikú yualawime uyari, mana ketari mi ka xakwitsa ti pini ketari me wa ku t+x+.	2430,461,6441,548,1687,6623,398,7585,519,3875,4388,7820,8484,3558,2261,6906,514,5222,4286,1718,6152,4707,5359,1450,61,2320,8370,6692,5827,5899,4643,7023,844,3343,290,8276,7577,4441,3407,6188	4,13,8,15,18,19,31,32,42,5,6,17,22,23,24,26,30,34,36,37	3303	52	3355	
17	Dos personas están bajo una estructura de techo de paja en un patio de tierra húmeda, con ropa colgando en una cuerda y montañas al fondo.	Hutame me mayuti xexe+riwa xamaru t+a, meteta mariet+ kem+ti ku xaxatsiwa.	Kareta mat+a puretini wixarika mana ti ti kwa at+ kareta tsie p+ ye húpu ya xeik+a yu pinite mana pait+ p+ ti ye pine.	5839,14,5709,461,514,8570,7653,6623,7133,5078,3326,855,1718,8484,3949,664,258,805,7515,5533,6480,7585,7795,6039,3216,8773,6188,8380,8904,6773,2510,2305,6460,2640,7023,6872,6809,1932,7953,3669	24,42,3,34,21,37,48,49,6,10,15,27,30,32,35,44,45,47,1,4	3305	32	3337	
