idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Objetos artesanales colgantes con diseños geométricos y florales en negro y blanco, posiblemente de cerámica o madera, exhibidos en un entorno interior.		Mè̱wö bitsì̱, i ki̱ka íyi diö́köl yö’tso wè̱s dù diö́köl ês.	934,4639,7461,6878,2133,6414,649,2117,7383,2627,5307,6048,5521,5907,1882,2385,1023,2040,1755,4677,5302,2041,2180,2517,4295,6342,6854,1609,7071,7236,1584,6574,5970,1783,6906,637,2052,2406,3882,3883,3884,3885,4076,6445,2597,6239,2868,5646,7259,4333,6920,2278,1702,2999,4865,5954,6939,6947,4342,2395,5635,1708,2621,5310,6097,6859,7182,1138,1226,2418,3789,6417,2127,55,556,1588,2444,3990,3992,6415	1,5,13,44,8,16,20,23,28,30,39,42,43,46,48,2,6,7,9,10	5339		5456	117
1	Un niño está dentro de una cesta tejida con patrones geométricos en colores amarillo, azul y blanco, suspendida por cuerdas. El niño lleva una tela oscura cubriendo su rostro y mira hacia arriba. El fondo muestra suelo seco y agrietado.		Alà âr sku’ a̱. ês ie’pa rö alà tsè̱ke. Sku’ wö̀a krôrô.	2860,6873,6302,7127,2463,7233,7265,6003,6417,4563,4828,6819,5977,7339,4342,3932,7388,6688,856,1868,4684,4035,4987,7075,42,3126,1728,927,3961,6207,741,5207,6176,5701,3990,3992,7248,5237,1414,610,4397,3934,3937,6539,7318,3120,4874,7245,55,4213,6880,1689,7071,2868,6568,2773,4012,1246,1461,6920,3962,6228,5053,1841,2133,1701,7182,6451,1882,2385,4575,6664,6836,7420,6878,1138,40,41,4212,4245	9,27,49,7,11,14,17,23,26,31,32,37,42,0,3,4,13,20,39,44	5149		5266	117
2	En un plato negro se sirve arroz con frijoles, plátanos fritos y un huevo frito, sobre una mesa con mantel estampado.		Chkö̀ a̱ àrros tso', átu cha̱mù̱tak e̱na̱ krò tak. Chkö̀ ña̱' bua'ë.	7428,6123,6685,6944,6254,4574,823,4828,7462,6672,7259,6920,6043,7263,4677,6991,7277,6463,5970,5314,2702,4606,7098,6515,1351,7161,2861,7048,4521,5495,6848,6914,5123,2423,7285,1702,6939,6089,2597,2395,6878,6819,2860,6915,5119,4639,7461,1023,4627,1756,1985,2361,5383,6255,4535,6958,6952,288,1827,2512,1755,5302,241,1691,5307,3790,3858,3998,3999,4008,4009,4010,4037,4038,4039,4040,4041,4042,4043,4045	16,43,13,17,3,7,8,14,20,23,24,30,32,35,37,39,42,48,0,1	4971		5088	117
3	Un hombre con una chaqueta azul sostiene un manojo de plátanos maduros dentro de una estructura de techo de paja. Al fondo, se ven estantes con frutas y recipientes plásticos.		Akë́kë tso' cha̱mú̱li ajkáchök. Ie' wa̱ cha̱mù̱ tso' ie' ù a̱. Ie' apàio si̱ê̱	7428,6585,6123,5507,6194,2117,4075,5263,6944,4997,7362,7470,6915,1382,3790,4535,6958,6932,1865,1776,4882,1246,6848,6217,7416,947,4122,4123,4124,4125,4126,4127,4128,5349,5350,5351,5352,5353,5354,2666,5119,4828,7098,7462,1775,6467,5833,6219,6233,4331,7274,4557,1023,6043,7200,6438,1431,5748,5289,5400,5577,6463,5053,2665,4697,2861,5907,7211,1182,2423,2510,3924,4707,5500,7330,7398,830,6140,6890,5705	29,24,8,25,23,28,32,33,37,48,49,1,6,7,10,20,35,38,39,2	4867		4984	117
4	Un hombre camina descalzo por un río de aguas turbias, con una mochila y una bolsa colgando de su hombro derecho. Detrás de él, una orilla cubierta de vegetación densa y arbustos altos.		Wë́m tso’ shkö́tchö di’ a̱. Ie’ wa̱ dalì dàmi̱. Ie’ wak dör êköl.	6438,4882,1246,830,4563,6217,7428,4535,6958,2008,6194,7048,6139,1382,2117,6123,4828,6043,4646,6585,5053,1414,4997,2423,2463,3924,5289,1564,6140,6890,1431,5233,735,3903,3970,5212,1480,1868,5907,4035,4987,5577,3790,5709,6940,5691,4404,1865,1776,6497,3967,4593,5543,6119,6563,7200,4524,6664,1728,387,1727,3791,3851,3853,4011,4036,4044,4051,4054,4056,5357,6073,1841,6431,5119,7462,685,6515,6568,6851	25,23,37,30,1,11,14,26,49,3,7,19,27,42,48,6,8,9,10,13	5133		5250	117
5	Objetos de piedra tallada, incluyendo sillas y un banco con forma de cabeza de animal, exhibidos en un vitral con fondo azul.		Kula' dakilîlî yö'tso i ku̱a̱ki ë̀. Êrë idir ák. Ák wa i yö̀ne̱.	2765,2117,5843,4535,4521,6848,2205,1865,1776,4882,1023,3003,1609,2666,1775,5833,6219,6233,1012,2607,6665,6690,5521,5907,3001,1124,6672,7428,7274,6932,7402,2510,3924,4707,5500,5507,7330,7398,1182,1164,7259,4867,4587,7003,6819,6823,6123,6685,6944,7263,3140,4869,947,4634,775,1855,6302,2767,3961,3973,4075,4908,4997,5636,6153,6191,6412,7008,7452,2514,5970,6871,6958,6947,2702,4574,4606,7098,2211,2665	0,36,1,20,23,26,28,34,45,48,6,7,8,11,13,14,16,17,19,21	5140		5257	117
6	Un grupo de personas, incluyendo niños y adultos, posa frente a una estructura con techo de hojas secas. Algunos llevan ropa formal o tradicional, y hay un perro junto a ellos.		Bulú kalépa, ie’pa wakpa sè̱ne̱ ká̱ ta̱î̱ë. Ie’pa ië́te̱n dabòp ki̱ ské̱l. Ie’pa dapàna̱ ù sulë pámi̱k.	731,795,5218,4052,7462,5954,2041,6958,6848,2040,296,3844,934,7470,2395,5635,5907,1702,288,2117,5970,3926,2597,6417,5881,6952,7361,1348,3973,4075,6139,7428,7274,2463,4639,1826,6947,6917,1830,3969,4980,4828,6525,5543,1180,1865,1776,4882,7368,1246,7263,5868,6123,4967,2751,4780,6043,965,2999,4865,1709,4728,1435,1864,6683,2702,7098,5548,6231,4563,1775,5833,6219,6233,1023,1404,6304,4771,6782,7349	49,7,8,18,32,38,48,9,23,24,28,3,25,35,39,10,11,13,14,16	5311		5428	117
7	Tres hombres con tocados y taparrabos de tela están de pie sobre un sendero de tierra, frente a una estructura piramidal de paja. A su alrededor hay un armadillo, una tortuga y un loro sobre un tronco, en un paisaje con montañas y vegetación.		Kayö́, tsawì, kuë̀ e’ tso’ íyiwak wak wa. Ká̱bata a̱ ka̱mî̱ë íyiwak wak sé̱rke.	2510,731,795,5218,7428,1865,5907,1776,4882,6043,3924,6123,7277,7470,4535,6958,5314,1775,5833,6219,6233,3973,4075,7462,2395,5635,7274,4828,5970,5119,2117,6525,4331,2423,4707,5500,5507,7330,7398,5868,6848,7263,2184,1691,6231,3790,3858,3998,3999,4008,4009,4010,4037,4038,4039,4040,4041,4042,4043,4045,4047,4048,4049,4050,4052,4053,4055,7111,6139,346,6515,7259,1435,1382,1414,3888,7425,2767,3961,4908	49,32,8,6,20,21,24,1,14,18,19,35,36,46,48,3,11,13,17,23	4721		4838	117
8	Dos personas se encuentran frente a una gran serpiente de tierra bajo una estructura de techo de paja, en un entorno natural con montañas y árboles. Una de ellas sostiene un objeto mientras la otra parece ofrecerle algo.		Ká̱pake dör iche tö íes tchabë̀köl tsikìne̱. Bö́l kàl daléwa pë’ tso’ i wéblök.	1431,1246,4535,6958,7428,4828,6460,5907,6123,7236,7200,6217,6917,4908,5636,6585,6194,1382,6140,6438,1080,6462,7267,6568,1251,7470,6043,2423,5543,6489,7141,4005,3925,6515,5289,1865,4750,6890,830,6433,6480,5577,7462,2463,5288,6940,1776,4882,6467,2909,2910,2008,3967,4593,6119,6563,7362,7274,5898,6869,6991,731,795,5218,6999,3791,3851,3853,4011,4036,4044,4051,4054,4056,5357,279,280,4563,2117,947	23,25,35,48,7,30,32,39,49,3,6,10,17,24,26,29,38,9,13,16	5057		5174	117
9	La imagen muestra el interior de una estructura con techo de paja o hojas secas, organizadas en capas concéntricas y soportadas por vigas de madera que convergen hacia el centro.		Ù tsà̱bita a̱ ta̱ idir yirîrî. E' yawèke ùkö wa, tsî̱ne̱t a̱ñì̱ ó̱mi̱k.	717,7040,6811,5543,7469,4555,1830,6856,1480,7470,2165,6194,6664,4684,6090,7267,1246,2435,2117,1138,6845,2666,1689,5548,4750,5995,6568,6819,7168,5521,830,7236,1085,6480,5554,2342,6834,1564,342,344,7061,6827,6585,1465,6647,1023,2050,6302,5289,1245,4560,6878,6869,6470,6940,2142,6631,4881,4067,970,7278,6807,2433,2008,4563,6347,2055,6467,7058,6991,6768,4593,6119,5696,5982,7460,2182,4516,4734,5963	23,39,1,14,48,49,6,8,16,24,25,27,29,35,11,17,31,42,3,7	5478		5595	117
