idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	En la imagen, se observa un kambuchi de color marrón oscuro con un diseño de tejido, junto a un guampa con una bombilla metálica, ambos dispuestos sobre una poyvi de colores vibrantes. Al fondo, se puede apreciar un entorno al aire libre con plantas y una hamaca, creando una atmósfera relajada ideal para disfrutar un terere.	Kambuchi ha guampa ojejapóva yvyrágui, oñemoĩva peteĩ poyvi ári, ojeipurúva terere ha ka'ay ryrurã.	Tereré ekípo oĩva poyvi ári peteĩ korapy yvýrayty mbytépe: peteĩ térmo vakapíregui mbojegua pyre, guámpa yvyragui ojejapopyréva ha vombílla kuarepotigui.	25162,2628,4429,8457,12193,13375,14859,1994,18622,24064,23289,3199,8299,8855,13695,7804,15063,8442,10053,20468,22420,800,16699,7172,8973,7686,17728,23950,13692,19161,16584,17999,18401,20211,23039,18915,22041,25926,6769,8532,24295,13718,18534,24551,3593,20390,7254,20717,24464,4374,20927,2202,20123,8152,15150,23787,12033,22440,893,14378,13563,15479,14369,20474,210,13866,5539,10774,310,11640,11943,19612,11608,13179,13575,16396,9382,19768,25403,4495	42,5,26,35,3,38,6,23,25,36,46,48,4,24,34,39,40,41,44,7,8,10,14,18,19,20,27,32,47,1,11,12,15,16,21,33,49,9,17,22,29,30,31,37,43,45,2,13,28	16419	47	16466	
1	En esta imagen se observa una escultura de piedra blanca que representa a una figura femenina sosteniendo una bandera, junto a un hombre que levanta su puño. No se pueden identificar objetos específicos como guampa, bombilla o mandi'o en la escena, pero la estatua parece estar ubicada en un espacio abierto bajo un cielo azul intenso.	Kuña ha kuimba'e ra'anga ita morotĩgui ojejapóva, oñemopu'ãva peteĩ yvyra ári, ohechaukáva ñane retã rembiasakue ha ñande reko tee.	Las Residentas ñemomora, 1979-pe guare, Luque ha Paraguay oja mbytépe, ha'e hína peteĩ estátua aty omomba'eguasúva kuña Paraguái py'aguasu omoĩ va'ekue ñane retã oñembo'y jey haguã.	7804,15063,25162,25222,9382,19768,1913,12153,888,18339,8457,12193,20468,22420,1882,13423,24551,13288,16617,23828,10677,16449,1135,14645,7172,8973,23883,13821,21060,25690,11736,15881,3508,18609,13420,19691,19801,20980,24402,9250,15116,1775,19441,13686,15859,24166,362,19033,16258,18298,24245,11980,20318,12140,19618,258,11108,11701,13365,10469,18075,23055,9722,18955,14360,20732,24852,9195,22969,14457,18749,1521,17465,13375,14859,3824,19812,10132,11601,5681	39,21,22,24,29,31,32,44,19,25,30,34,35,42,5,7,10,27,45,11,18,23,41,47,0,4,8,12,15,16,36,37,40,43,46,3,9,17,26,33,38,48,49,6,13,14,28,2,20	16037	57	16094	
2	En este mercado, se pueden observar diversos productos colgados en bolsas plásticas, incluyendo manduvi y otras hierbas secas. Sobre la mesa, hay una variedad de vegetales frescos y tubérculos, como mandi'o, dispuestos en montones coloridos.	Ko'ápe ojehecha peteĩ mercado oñevendéva manduvi, pohã ñana ha opaichagua temitỹ.	Peteĩ pohã ro’ysã térã pohã ñana renda, ojeipurúva matépe ha tererépe g̃uarã, oĩva Mercado 4-pe Paraguaýpe; upépe ojekuaa Paraguái pohã ñana jepokuaa.	23693,3891,20745,13247,14241,4977,8413,4487,16975,23735,25347,905,13304,2460,16318,11408,21855,6918,15430,10438,19375,5494,14784,1679,17207,3954,12460,8097,13694,6324,18239,4756,18314,6583,11588,10763,17636,5087,10457,7021,19798,3000,4297,21196,22003,14235,17936,13761,19378,4626,15812,365,6969,10723,21518,21026,22255,16018,20044,289,12811,1570,22057,23055,19053,22190,5080,18664,1775,19441,24117,1777,15816,14430,16231,6237,8818,6859,22249,6993	3,13,20,47,0,7,8,24,28,36,39,40,43,48,1,16,18,21,22,23,27,30,32,34,35,37,38,44,46,49,4,5,6,10,12,14,15,17,19,25,26,29,31,33,41,42,45,9,11	15090	33	15123	
3	En esta imagen, se puede observar una variedad de productos frescos en un mercado, posiblemente el Mercado de 4, donde se destacan las mandi'os y las hierbas verdes, que podrían ser utilizadas para preparar el terere. Las mandi’os, de color marrón claro y textura rugosa, están dispuestas junto a hojas verdes y delgadas, mientras que las poh	Ko'ápe ojehecha Mercado 4-pe, oñemúva mandi'o ha pohã ñana, ojeipurúva tererépe g̃uarã.	Peteĩ mésa ohechaukáva opaichagua Paraguái pohã ro’ysã térã pohã ñana-nguéra, ojekuaahápe ñande ypykuéra arandu pohã ñana heko oipurúva hikuái.	3449,17795,16303,20903,4329,18632,12111,18918,16548,19291,16529,17552,1702,11631,6859,22249,5253,12339,23342,6562,6753,451,4123,8748,19841,2890,17647,9230,22690,7124,7232,2014,21200,7018,10414,25400,25668,25560,1679,17207,25865,13773,14838,23760,115,3866,10267,13016,5364,13696,24304,10971,21144,4354,4958,15163,16568,6698,15719,15659,22620,10885,12175,5721,21128,18377,21084,5013,16344,5518,15051,8431,8868,24045,18915,22041,3281,8794,23844,25522	25,42,0,14,20,48,16,33,34,2,10,13,37,38,44,49,5,7,12,15,18,23,26,28,29,40,46,1,6,9,19,24,27,30,35,41,45,8,11,22,31,32,39,43,47,17,21,36,4	16283	42	16325	
4	En la imagen, se observa una figura vestida con una túnica blanca y una capa roja, sosteniendo un guampa blanco con una bombilla metálica. La figura lleva una corona dorada y una cruz en la cabeza, y está colocada sobre una superficie cubierta con un ao po'i blanco con detalles intrincados.	Peteĩ ta'anga ojejapóva yvyrágui, oñemonde ao morotĩ ha ao pytãme, oguerekóva ipópe guampa morotĩ ha vombílla kuarepotigui. Iñakãre oguereko korona itaju ha kurusu, ha oñemoĩ ao po'i morotĩ ári.	San Blás yvyra ra'anga, Paraguái retã rerekua, oreko irosário ijao puku morotĩ ári ha peteĩ apeao pytã; ipópe oguereko Tupã Ñe'ẽ ryru ha váculo; peteĩ tataindy itatĩ altár ykére, peteĩ mésa ao morotĩ croché enkáhegui ári.	2093,14435,9426,14719,20468,22420,24080,25162,1994,18622,15207,16128,768,5228,1273,4043,9255,11516,7448,14060,4626,15812,258,11108,7254,20717,3713,12527,7874,11326,23580,8353,12894,8442,10053,2933,19048,3658,5181,2819,18988,13821,21060,7172,8973,8315,16627,5546,13369,12345,12450,23270,6094,7717,5539,10774,8055,8102,13375,14859,7686,17728,11608,13179,10215,20843,8097,13694,12579,12933,12220,14037,3199,8299,25832,8435,10617,3110,16359,4430	35,27,42,0,24,40,44,48,8,26,38,39,1,7,11,19,31,47,5,6,12,17,18,20,23,25,34,36,41,43,46,10,14,15,16,21,22,29,32,33,37,45,9,28,30,2,3,13,49	15204	84	15288	
5	En la imagen, se observa a varias personas trabajando junto a una pared de yvyra (madera) y cemento, utilizando herramientas y kambuchi (vasijas) para realizar reparaciones. No se ven guampas, bombillas ni otros objetos típicamente asociados con la cultura guaraní, pero la escena refleja una actividad laboral cotidiana en un entorno urbano.	Ava kuéra omba'apo hína peteĩ óga yvyra ha siménto rehe, oiporúvo tembiporu ha kambuchi omyatyrõ hag̃ua.	Mbohapy óga apoha omba'apóva hína peteĩ guatarã apópe, tápia yke yváteva renondépe; ijerére oĩ ryru ha tembipuru-nguéra, peteĩ ára haku porãvápe.	9382,19768,2391,5219,1434,11181,25162,5278,16079,14879,15165,23055,1354,13879,25920,4374,20927,24852,16035,16803,16806,18329,4851,5756,3837,17568,6119,13822,1082,15880,4078,11801,3739,7873,25429,5633,10305,8457,12193,3608,21276,772,15478,23047,13718,18534,10796,18430,10359,20114,3266,16735,25487,10718,16071,25447,9323,14585,14598,16718,7835,21305,25887,12896,16691,1221,16695,18064,22414,13375,14859,7502,17600,20929,21567,5065,6065,12477,21558,6105	34,37,24,39,0,6,32,44,10,15,19,21,25,30,42,1,9,22,29,33,38,46,47,7,23,26,35,40,41,45,3,8,11,14,31,48,4,12,18,20,27,36,43,13,16,17,28,49,2	15649	44	15693	
6	En la imagen, se observa a una persona realizando el ritual del tatapỸi, caminando sobre las brasas ardientes con los pies descalzos. La escena se desarrolla en un entorno nocturno, con varias personas de pie en el fondo, observando el acto con atención.	Peteĩ ava oguata hína tatapỹi akúre, py nandi, peteĩ ritual ojejapóva San Juan árape.	"Peteĩ kuimba'e oguata hína tatapỹi ári; ""Tata ári jehasa"" niko peteĩ ritúal, peteĩ ñe'ẽ me'ẽ ha avei aguyje San Juan-pe iára guasúpe."	6546,13090,25098,3664,4943,1654,20550,8855,13695,14360,20732,11921,15825,24798,792,14487,2696,19403,8062,17065,2514,13110,13623,16574,6078,8500,2041,15024,10081,13030,1379,13118,11608,13179,4804,7969,26021,9042,15969,16035,16803,1356,18500,25162,13375,14859,571,16120,8457,12193,12338,17586,24754,2241,18202,24574,23972,15740,16682,9103,14202,25204,4986,6310,20371,22449,11575,11576,11542,18009,5023,10841,3395,8087,10921,14871,1497,15962,12124,14362	5,0,7,25,34,41,42,9,20,23,35,47,19,24,26,33,37,38,44,46,8,11,15,17,27,36,39,40,45,3,4,14,18,21,22,29,32,48,1,10,12,16,30,31,43,13,28,49,2	14883	34	14917	
7	En la imagen se observa una esfera ardiendo con llamas intensas de color naranja y amarillo, colocada sobre el suelo de tierra. Alrededor, varias personas observan la escena, posiblemente participando en un ritual o ceremonia que involucra el uso de tatapyi (brasas) como elemento central.	Tatapyi ári jehasa, peteĩ ritual ojejapóva San Juan árape, ohechaukáva jerovia ha py'aguasu.	"Peteĩ ""pelota tata"" hendýva hína yvy ári; peteĩ ñembosarái oikóva San Juan árape, ojejapóva aokue vakapipópogui oñembohykuéva komvustíblepe, hendýva ha oñemombóva chúta hápe."	20468,22420,5253,12339,8457,12193,21379,22431,13850,21029,24049,2595,12939,3920,8777,23057,3077,7587,4237,19003,3377,17222,8606,10950,13821,21060,3011,22185,25162,16323,22957,3914,6301,4263,21791,551,2262,2935,7828,23523,13623,16574,2991,20240,16035,16803,25429,9382,19768,8392,10017,11701,13365,9983,10407,12140,19618,1372,10310,1994,18622,25202,23751,25019,4680,7963,2108,20262,16258,18298,7656,14969,6343,8369,1018,18757,20689,21966,812,5799	9,18,27,34,40,44,8,30,33,39,45,6,19,22,24,29,32,35,46,48,49,1,10,11,14,21,25,31,36,37,47,0,5,12,16,17,23,41,42,43,3,4,15,20,26,28,38,13,2	16892	35	16927	
8	En la imagen se observa una chipa, un delicioso pan tradicional hecho con mandi'o, que descansa sobre una servilleta blanca. La superficie de la chipa está ligeramente dorada, con marcas que parecen formar letras, y se encuentra en un entorno sencillo, posiblemente en una mesa o superficie plana.	Chipa, tembi'u ojejapóva aramirõ ha kesúgui, oñemoĩ peteĩ ao morotĩ ári, ha'éva tembi'u ojehayhuvéva ñane retã Paraguáipe.	Peteĩ chípa, ojejapóva aramirõ ha kesúgui, oĩva kuatia jurukytyha ári, ha'e hína ñane rembi'u teete, ojehayhuvéva ha omohe’ẽva ñande reko.	21678,22419,20468,22420,1759,5116,25162,13375,14859,11608,13179,8442,10053,13288,16617,586,2854,16258,18298,8457,12193,5253,12339,7172,8973,4584,8269,12289,19430,2334,13109,25739,7254,20717,365,6969,4782,21268,12140,19618,25279,24551,12686,22358,2935,7828,7448,14060,3276,7372,25034,2355,20083,24166,8701,12975,17709,22927,5539,10774,11701,13365,4374,20927,13821,21060,7619,10321,7686,17728,23096,5430,21249,1569,2347,5443,14595,13692,19161,11602	35,38,40,48,7,19,27,43,44,9,10,12,18,24,39,41,46,11,26,31,32,33,34,36,45,47,0,4,14,16,23,29,30,42,1,5,6,15,21,22,25,37,49,17,20,28,2,3,13	15454	57	15511	
9	En la imagen se observa una vivienda tradicional con un techo hecho de kapi'i, ubicada en un entorno rural rodeado de yvyra. Varias personas están reunidas cerca de la casa, posiblemente participando en una actividad comunitaria, mientras el suelo es de tierra rojiza.	Óga okaháre ojejapóva yvyrágui ha hi'ári kapi'i, oĩva yvyrakuéra apytépe, ha ijerére oĩ tapichakuéra oñembyatýva.	"""Opygua"", hérava avei ""opy"", ha’e Mbya Guaraníkuéra ñembo’e renda, peteĩ tenda marangatu ojejapohápe heta mba'e ijerovia rehegua, oñemombarete hag̃ua imba'eteete."	25162,24340,5253,12339,25695,9983,10407,16035,16803,8457,12193,21662,21908,10469,18075,18436,18605,2935,7828,15180,20959,17287,22567,4374,20927,25429,1654,20550,12220,14037,3011,22185,24464,3627,11339,3510,9565,23039,12140,19618,5681,21865,18602,20546,9725,20300,24407,7656,14969,7516,12176,8681,17606,10618,14053,9184,19555,20468,22420,20604,21334,10196,10960,8442,10053,24369,7242,13719,7899,21240,13536,21596,24491,21379,22431,4665,5871,12791,17342,551	7,47,19,32,8,34,40,44,5,6,25,33,37,39,45,11,12,16,18,26,27,29,35,46,49,10,23,38,42,43,0,1,3,14,17,21,22,24,30,31,36,41,48,15,20,28,4,13,2	15544	56	15600	
10	En la imagen se observa una porción de chipa, una deliciosa preparación hecha con mandi'o. Su textura es suave y esponjosa, con un color amarillo intenso que resalta su apetecible apariencia. Aunque no se ven otros elementos, la chipa parece recién horneada, lista para ser disfrutada.	Chipa, tembi'u paraguái teete ojejapóva aramirõ ha kesúgui, ha'e hína peteĩ tembi'u ojehayhuvéva Paraguáipe.	Sópa Paraguái niko peteĩ mbujapemi avevo ha rorã, ojejapóva avatiku'i, kesú, ryguasu rupi'a ha kambýgui; ojoguave peteĩ mbujape térã mbujape he'ẽpe ha ndaha'éi tembi'u hykue.	20468,22420,13804,15904,25162,4068,9478,8457,12193,23096,18915,22041,12289,19430,19149,22787,23289,8253,22183,291,1347,24654,5430,21249,23608,4564,10223,1288,6228,23055,3602,22175,15361,18925,16258,18298,3761,5613,12063,20509,7322,10262,800,16699,3011,22185,1994,18622,8435,10617,5475,7257,6976,11646,3157,19237,12345,12450,4263,21791,6343,8369,5293,18579,12140,19618,11884,18058,3863,8303,15734,16420,727,6423,7560,13116,7262,12401,26026,4959	12,43,16,40,44,24,29,30,31,48,5,8,18,36,37,38,39,45,46,1,7,11,27,34,42,0,3,19,23,25,32,35,9,15,17,21,22,33,41,47,49,14,26,28,4,6,20,2,13	16211	48	16259	
11	En la imagen se observa un plato de comida típica del Paraguay, que incluye mandi'o (yuca) cocida en una salsa amarillenta, acompañada de arroz blanco. El plato está servido en una vajilla decorada con colores vivos, posiblemente inspirada en el ao po'i, el bordado tradicional. Aunque no se ve un guampa ni una bombilla, la	Mandi'o ha arró, tembi'u paraguái teete, oje'úva maymáva árape ha omoirũva opaichagua tembi'u.	Chupín ryguasu arró kesú ndive: peteĩ jukysy rãicha ojejapóva kamby ñandýguinte, ka'avo ha papandi; oje'u arró kesú teetendi, orekóva kámby ha kesú Paraguái heta porã.	23544,16794,20244,17598,19496,25162,5223,20751,24045,5256,8333,5253,12339,11407,11886,1994,18622,16258,18298,23110,291,1347,3011,22185,17248,18917,11701,13365,12140,19618,5023,10841,8855,13695,8457,12193,25047,25660,10971,21144,8531,22524,25739,11608,13179,718,6257,12687,19512,25567,8042,18164,3276,7372,2132,9862,19354,22667,4263,21791,25926,976,8994,4804,7969,5938,9139,4083,16341,10084,16716,20169,21851,2935,7828,16875,22715,24295,25033,7172	44,35,36,17,18,24,40,19,26,27,30,47,7,8,10,29,37,39,48,1,9,12,16,21,22,25,32,34,42,43,45,0,4,5,6,14,15,23,28,31,33,41,46,49,13,3,20,38,2	15632	42	15674	
12	En la imagen se observa una deliciosa porción de chipa guazú, una variante de la tradicional chipa pero con una textura más húmeda y relleno de carne y verduras. La chipa está recién horneada, con una corteza dorada y crujiente que contrasta con su interior suave y sabroso, mientras en el fondo se puede apreciar el resplandor	Chipa guasu, tembi'u paraguái teete, ojejapóva avati ku'i, kesu ha so'ógui, oje'úva asado ha tembi'u he'ẽ asýva ndive.	Sopa ryguasu ha'eko hína pe sópa paraguái oñemyenyhẽva pe ñemongu'éva ryguasu so'o ha ka'avokuéra ndive.	12289,19430,16258,18298,551,2262,25162,20468,22420,12215,14104,25425,19327,22422,4804,7969,3276,7372,16035,16803,17721,19598,25969,7619,10321,7899,21240,6403,16643,11608,13179,5304,18074,17743,19858,1191,9055,9333,18764,13375,14859,13289,20166,18606,20306,8442,10053,10389,11901,3011,22185,12345,12450,6351,15710,869,18810,25033,13718,18534,17141,22085,24697,6898,15129,1804,10698,3664,4943,8457,12193,4263,21791,7057,19225,18915,22041,14769,19060,10215	10,43,44,8,18,29,36,40,16,19,27,34,35,39,7,9,11,23,28,31,38,45,46,47,48,0,1,3,21,24,25,30,32,33,37,41,42,49,4,5,14,17,22,6,13,15,26,20,2	16493	55	16548	
13	En este mercado, se pueden observar diversos objetos artesanales paraguayos, como guampas y bombillas de colores brillantes colgando del techo, junto con ñandutís y ao po'is bordados con diseños intrincados. En las estanterías, se aprecian kambuchis de cerámica de distintos tamaños y formas, mientras que en el suelo se encuentran plantas	Ko'ápe ojehecha heta mba'e porã ojejapóva pópe, oĩ guampa ha takuapi sa'y hetáva oñemosãingóva, ñandutí ha ao po'i oñembosa'y porãva.	Ñai'ũ apo renda Areguápe, heráva avei ñai'ũ rembiapo táva; upépe ojekuaa opaichagua mba'e, y syry jeguakuéra korapýpe g̃uarã ha ambue hembiapo porãita sa'yitáva.	24923,6180,18098,16816,20684,2890,17647,15163,16568,9652,11979,17248,18917,9382,19768,10677,16449,23931,7124,7232,7019,16316,8606,10950,7778,20128,16652,19746,5342,7806,5087,10457,25028,594,19135,9452,21645,6047,21695,25863,11537,13011,18700,19667,3047,4955,4680,7963,10885,12175,6581,17241,16166,22359,14081,18243,11073,14647,1679,17207,11331,15631,6635,21822,1187,7366,13975,18216,11983,15016,13247,14241,15244,21751,4771,5469,10267,13016,8093,10764	20,34,3,24,25,44,47,2,17,18,21,23,28,29,30,7,11,16,22,32,33,35,39,0,1,5,12,36,37,42,45,6,9,14,19,27,40,43,49,4,8,10,15,31,38,41,46,48,26	16435	63	16498	
