id	prediction	reference	chrfpp_sentence
0	Chan míis ku weenel yóok'ol u ch'iich'il u we'enel.	Juntúul miis ku weenel	37.6322
1	Le lela' junp'éel ju'un tu'ux ku ts'íibta'al u k'aaba' junp'éel diccionario, beyxan yaan junp'éel carta tu'ux ku ts'íibta'al u k'aaba' juntúul xook.	Junp'éel áanalte' ich maaya t'aan.	17.3097
2	Óoxp'éel máako'ob táan u xooko'ob yéetel jump'éel computadora.	Oxtúul máak tu táan junp'éel computadora.	46.1186
3	Junp'éel éek' taza yaan yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	21.9981
4	Ya'ab k'ab che'ob tu'ux ku kajal yik'el kaab.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	21.9387
5	Junp'éel botella de plástico yaan u táap'il azul, tu tséelile' junp'éel persiana.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	18.4261
6	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	23.0200
7	Junkúul sakchak lool yaan tu tséel junp'éel koot, tu paachile' yaan junp'éel xa'an.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	23.7230
8	Juntúul boox k'áanan táan u máan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	11.2227
9	Máak ku machik junp'éel lool sakchak, paachile' ya'akach xa'ano'ob yéetel ka'anal.	Le lela' jump'eel sakchak' lol.	26.2256
10	Junkúul xa'an jach ka'anal u yook'ol le ka'analo'.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	14.7503
11	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' ya'akach che'ob, táanile' yaan jump'éel chak k'áanche'.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	31.8405
12	Junkúul sakchak lool yaan tu tséel junp'éel k'i'ixil k'áan.	Junkúul k'áax yaan u loolo'ob de sakchak.	37.7139
13	Junp'éel k'an naj yéetel u rejao'ob de fierro, tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	42.6826
14	Junkúul ya'ax ki' yaan u loolo'ob tu tséel ya'abach che'ob.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	35.6524
15	Junkúul puut yaan u yich, tu tséelile' ya'akach che'ob, yóok'ole' yaan muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	32.7246
16	Le lela' junp'éel lool morado.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	9.1082
17	Juntúul sak kaax ku janal yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	43.8185
18	Úuchben che' kulukbal tu tséel pak'il, tu táanile' yaan jump'éel ventana, tu tséelile' yaan jump'éel che' ts'o'ok u ch'ak'al.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	35.0004
19	Junkúul che' jach nojoch u k'ab, ya'ax u le', paachile' ya'abach xa'an.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	30.1724
20	Le lela' junp'éel xa'anil naj tu'ux yaan junp'éel lona azul.	Junp'éel u naj k'áax beyxan yaan tu táanil junkúl che'.	23.7757
21	Juntúul ko'olel yéetel sak nook' yaan u loolo'ob, tu tséelile' yaan junp'éel k'áax.	Nojoch máak yéetel u huipil de flores jejeláas bonilo'ob, wa'akbal tu tsel U pak'alo'ob.	20.7570
22	Ichil naj tu'ux ku ch'a'abal k'áak', yáan nu'ukulo'ob ch'uyukbalo'ob, yéetel jump'éel cubeta azul.	Chi' k'aak' yettel nixtamal ti naaj.	14.1866
23	Nojoch k'aak' tu'ux ku p'o'ok'ol k'áax.	Ki'iwaj ku lo'kansaj	10.9070
24	Juntúul máak ku jantik empanada, tu táanile' yáan jump'éel chak meex, paachile' yáan jump'éel koot.	Jump'éel naj tu'ux ku ts'áajal polcanes, yáan nu'ukulo'ob yook'ol mesa, yéetel jump'éel ollia paachil juntúul máak ku k'aaxik jump'éel bolsaa.	28.5751
25	Juntúul miis kulukbal tu jool naj, tu paachile' yáan ya'akach che'ob.	Jump'éel xa'anil naj tu'uxan juntúul chan míis p'ukukbal chumuk, paachile' sáasil yéetel k'íin, yáan ya'akach kúul che'ob ku wilk'ajab, yéetel xane´muñalo'ob ku mano'ob.	23.4222
26	Juntúul ko'olel táan u ts'a'abal u janal, tu tséelile' yaan ya'akach p'uul, yéetel ya'akach pib.	Máak ku tsiktik kaax yeetel ku patikk tamali'	13.0131
27	Junp'éel koot tu tséel ya'abach che'ob yéetel su'uk, sáasil k'íin ku jultik.	Jump'éel solar tu'ux yáan ya'akach kúul che'ob tu pachil, táanile' yáan xiimo'ob ts'u jolo'ochtalo'ob, yóok'ole' yáan bu'ul ku t'i'it'pajal, taanile' yaan jump'éel koot chowak.	15.3805
28	Winik ku xíimbal ich k'áax.	Winik ku xiimbal ti k'aax.	44.0654
29	Junp'éel k'áan melón yaan tu tséel k'áax.	K'uum ku kajal u tak'antaj yook'ol boox lu'um, tu ba'asche' yáan ya'akach tunicho'ob yéetel k'áaxo'ob.	12.0458
30	Tikin nal ku xiimbal máak.	Winik wa'akbal yáanal ya'akach che'ob, táanile' óoxp'el kul xiim, yéetel kaanle' azul mina'an muñal ku wilk'ajab.	7.9447
31	Junp'éel nal táan u tikinil, ch'uyukbal tu k'ab junp'éel che', tu paachile' ya'ax k'áax yéetel sáasil ka'anal.	Xiim ts'ok u jaantal tumen ba'alche'ob, paachile' ya'akach che'ob ya'axtako'ob, mina'an muñal ku man ka'anal.	29.1859
32	Junkúul che' yaan u le' beyxan yaan u k'u' le ch'íich'o'.	Sáasil k'íin ku jultik jump'éel chan nido chan ch'iich ch'uyukbal tu kul k'i'ixil che', azul le ka'analo'.	13.1621
33	Ya'ab máako'ob ku máano'ob ichil jump'éel iglesia, paachile' yaan jump'éel bandera mexicana.	U noj najil ku' tuux much'ukbal ya'akach winiko'ob, táanile' jump'éel nok' u bonilo'obe' yáax, sak, yéetel chak, chúumuke' ch'uyukbal banderrillas jejeláas bonilo'ob.	17.8302
34	Junp'éel tunich yaan óoxp'éel u jool, yóok'ol junp'éel boox nu'ukul, tu tséelile' junp'éel chak jool naj.	Kiiwaj maka'an yettel block.	10.8395
35	Juntúul máak ku k'axik junkúul che' yéetel su'um.	Winik ku k'aaxik u si' yeetel aak'.	25.4762
36	Ichil jump'éel naj, ya'ab máako'ob ku kúuchkabal yóok'ol lu'um, ka'atúul peek'o'ob ku p'atik u yich tu paachil, tu paachile' ya'ab kúul che'ob yéetel jump'éel naj u yóok'ole' de lamina, yóok'ole' yáan muñalo'ob.	Peek'o'b walakbalo'ob jool naj, ichil le najo' yáan wíiniko'ob kulukbalo'ob, paachile' yáan che'ob yéetel jump'éel naj.	44.8913
37	Juntúul boox peek' ku weenel yook'ol bej, tu tséelile' jump'éel koot yéetel ya'akach che'ob, paachile' jump'éel sak naj u yóok'ole' azul.	Chan peek' chilikbaj yook'ol carretera, paachile' yáan ya'akach che'ob yéetel jump'éel chowak koot, tu taamile' yáan jump'éel sak naj.	47.9016
38	Jump'éel naj de che' yéetel u yóok'ole' de xa'an, tu tséelile' yaan jump'éel bicicleta, paachile' ya'akach che'ob.	Bicicleta najkunsa' tseel úuchben xa'aninaj.	21.8214
39	Juntúul ch'íich' yaan yóok'ol junp'éel che', tu tséelile' yaan junp'éel nu'ukul, paachile' yaan koot.	Baach u mot'mubal tu weenel tu tsel apagador ichil naj.	16.5969
40	Juntúul boox yéetel sak miis wa'akbal yóok'ol jump'éel che' naj, tu paachile' yáan ya'akach che'ob, yéetel jump'éel naj.	Chan míis ku máan yook'ol lamina, yóok'ole' junkúul che', tu tséelile' jump'éel cubeta ch'uyukbal, paachile' jump'éel naj u yóok'ole' de lamina.	33.0552
41	Juntúul ko'olel ku ts'áaik bu'ul ichil junp'éel nu'ukul.	Juntúul máak ku xiixtik sak ibo'ob.	24.2990
42	Juntúul k'an míis ku weenel yóok'ol jump'éel koot.	Le miiso' te chilikbal yookol le pak'il le najo'.	12.1193
43	Junp'éel camión yaan tu tséel junp'éel naj, yáan xan junp'éel chak k'áanche' tu tséel.	Tu tséel le sakchak najo', yaan  junpeel sak kisbuuts' yéetel junkúl xa'an.	26.9440
44	Junkúul che' mina'an u le' yaan tu tséel junp'éel torre.	Le che'o' mina'an u le', ba'ale' ya'ab u yich tu tséele' yaan junkuul xa'an.	36.0479
45	Junkúul che' mina'an u le', ba'ale' yaan u yich, tu paachile' ya'ax k'áax, yéetel ka'an.	Le sakpakalo'obo' ti'  yano'ob tu k'ab le che'o', le cheo' ya'ab u yich.	23.7813
46	Juntúul boox pepen yaan u chak bonil tu k'ab che', yóok'ole' azul le ka'analo'.	Le boox péepen ti' yaan tu k'ab le che'o'.	34.1820
47	Juntúul sak t'eel yéetel u k'aaxil chak p'óok, yéetel juntúul boox kaax, tu tséelo'obe' ya'akach che'ob yéetel tikin le'ob.	Juntúul sak kaax yéetel juntúul book kaax ti ya'ano'ob yaanal le che'o'.	42.9931
48	Junp'éel boonil tu pak'il naj, tu'ux ku yila'al juntúul máak ku ts'áaik junp'éel chan ba'al yóok'ol junp'éel tunich.	Te boona' ya'an juntúul ch'uup ku yiik biix u taabal le k'áako'.	23.7243
49	Junkúul che' yaan u loolo'ob de sakchak tu tséel carretera.	Junkúul sakchak lool yaan yookol le bejo'.	33.5160
