idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Una persona con sombrero de paja adornado con flores mira un paisaje montañoso bajo un cielo azul claro. Lleva ropa oscura y su cabello oscuro cae por la espalda mientras observa el horizonte.	Se siuatsin ika ixonbelo xochikoskatl tlanauak tepetl tlachia.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	1042,6623,1799,3814,4953,15930,3807,972,11322,12113,15797,12944,2142,9766,687,9705,13990,8114,891,15679,5640,3034,12194,13809,12658,9578,13679,1406,5526,15522,4270,13102,10747,3525,12909,15897,4145,8681,1057,12410	1,3,20,21,23,31,33,42,49,7,15,18,22,32,37,38,40,5,6,9	7734	26	8056	296
1	Una persona con sombrero y ropa oscura está sentada sobre una roca en un entorno montañoso con vegetación. Sostiene un bastón y tiene una mochila a su lado.	Se tlakatsin ika itlaken tlayouak uan isonbelo moketski ipan se tetl kanin tepetik, ijtik kuauitlamej.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	13278,15797,2142,13359,15930,1406,9594,4270,12410,14801,4145,9132,10335,14395,1950,9705,5640,9766,3525,7139,10768,1448,800,12111,6089,5827,127,8681,6749,10747,585,7022,8288,11237,8114,6092,11875,1690,13679,693	49,0,17,33,42,7,20,4,18,22,24,26,34,38,41,8,10,13,14,16	6894	41	7356	421
2	Un hombre en ropa blanca habla desde un púlpito de madera en un salón con paredes blancas y azules, mientras varias personas sentadas en sillas plásticas lo escuchan.	Se tlatkiistak tlacatl tlapouijtok ipan se kuautlaixpankali ijtik se ueyi kaltlamachtiloyan, uan miakej maseualmej tlakakistokej.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	10556,11250,9109,12944,8507,14664,1279,1008,12171,4250,7087,9170,12514,6818,414,15010,2142,2020,11251,407,2064,1961,1647,5715,3280,12410,7345,11111,13664,1042,6276,1403,13532,12658,14573,4370,3043,5526,10675,5662	5,16,17,49,0,3,6,18,20,22,29,33,37,1,4,7,8,10,14,15	5989	52	6321	280
3	Dos hombres posan para una foto al aire libre; uno lleva una camisa blanca con bordados tradicionales y el otro viste una chaqueta oscura con pañuelo colorido al cuello. Detrás de ellos se observa un espacio público con árboles, personas y vehículos.	Ome tlakamej motlaliaj ma kinmaixkopinili, se ika ikoton istak tlaxochitlakuioli uan okse ika se payotl xochijyo.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	3807,9766,12286,3525,7786,15930,891,9028,13981,2344,1406,2142,893,3643,10930,14395,810,800,7616,12944,844,15535,8342,5504,1138,8681,8371,6494,9391,1432,8832,11237,11222,11322,10558,4270,10747,1864,4604,2807	22,0,37,5,29,31,33,36,38,49,4,7,16,23,48,2,13,14,15,17	7693	46	8122	383
4	Un grupo de personas, algunas con vestimenta tradicional, sube a un autobús rojo en un lugar al aire libre. El autobús tiene la matrícula 970-RN-5 y está estacionado cerca de edificios y árboles.	Sekimej tlakamej ika inmaltepetlaken tlejkojtokej itech se kalmimiloli chichiltik.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	2999,10335,4104,1008,8118,7345,11111,1227,6927,9449,13051,13049,4995,6793,1493,3126,1406,940,10490,4541,3188,11292,7934,11920,15797,10345,10556,10510,3487,14341,10230,13428,743,12113,7636,2142,8360,2198,4281,687	22,29,18,41,49,5,7,33,48,1,3,9,17,31,37,38,42,43,47,0	5265	32	5689	392
5	Tres mujeres con vestimenta tradicional de bordados y faldas estampadas sostienen vasos de plástico mientras interactúan en un espacio público. Al fondo, otras personas con ropa casual observan la escena.	Eyi siuamej ika inmialtepetsotsol kipixtokej imbasojuan uan mononotsaj, ik uejka oksekimej maseualmej kinchixtokej.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	3525,8321,15855,2121,5769,2714,5485,7356,5265,1451,7719,477,8535,9418,1350,1511,7326,11057,1979,8592,9506,6818,8895,893,13159,15266,2142,1176,6101,10385,4918,13278,1720,1534,6791,15535,15489,9959,15042,8248	37,2,3,4,22,33,0,7,16,29,36,38,45,49,8,15,17,18,20,27	7351	49	7778	378
6	Un campo de caña de azúcar con postes de madera y alambre de púas en primer plano, bajo un cielo azul con nubes dispersas, rodeado de vegetación tropical.	Se ouamilli kiyaualojtok kuaujtlatzacuillotl uan mixtentok.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	10628,4953,10546,13990,3968,12113,12658,5217,8596,2064,11250,10420,4367,6623,2142,15936,5339,14220,2944,1931,7087,477,13941,8321,1961,9286,5939,15115,8114,10300,15123,8881,771,13809,12194,13191,8783,7026,14139,12410	15,32,23,29,37,0,18,21,31,35,2,7,8,13,17,27,40,46,47,48	5930	24	6309	355
7	Una mano humana sostiene un pequeño lagarto sobre una superficie de concreto, con vegetación verde al fondo y la sombra de una persona proyectada en el suelo.	Se ima kitzkihtok se kuetspaltsin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	9028,908,13973,15930,9347,14801,4726,9010,585,8214,1406,6749,11322,14365,2142,7139,11886,687,565,15626,15349,3223,12008,5640,5381,8681,127,8114,14239,4270,13990,7022,13278,1690,11222,14395,5876,13100,1950,10747	22,31,33,37,38,15,26,36,41,44,46,49,0,1,4,8,9,14,18,32	7196	14	7523	313
8	La imagen muestra una flor de color púrpura con pétalos blancos y hojas verdes redondeadas, creciendo entre ramas secas y vegetación en un entorno natural.	Se xochitl kamojtik tlen kipia istak ixiujyo non yotlaxochixtok ipan se xiuitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	9289,4187,9137,2823,13682,9132,832,2567,9088,10750,13053,5120,5827,8250,10768,420,12237,13809,2925,9747,12240,13786,1942,8149,13649,11322,1079,11057,2981,2506,2142,72,2647,5485,11351,11044,2714,4887,1305,15332	43,14,13,46,25,9,10,18,11,24,26,28,31,34,35,38,45,47,7,41	5063	31	5495	401
9	La imagen muestra una rama de árbol con brotes verdes y flores amarillas en forma de racimos. El fondo está desenfocado, con ramas y luz natural.	Se kuauxiuitl ika xochikostik.	Seki uajxilxochitl tlen yikin kueponij.	3304,16021,9704,13809,4187,13326,6341,5120,13159,4210,13682,1387,1057,1512,6163,420,11488,13053,2647,73,9449,15482,2890,8571,3362,6918,7042,1950,5939,15535,3298,14991,565,13756,8371,4337,8933,10701,6847,3105	8,43,18,7,13,14,17,27,33,38,41,49,0,4,11,31,35,37,45,46	6055	14	6480	411
