idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un gato atigrado duerme acurrucado en una cama para mascotas con bordes grises y un patrón de zigzag multicolor. La cama está sobre un tapiz con motivos geométricos rojos y azules, y el fondo muestra una pared azul y un suelo de baldosas claras.	Juntúul miis ku weenel.	Juntúul miis ku weenel		0,40,11,24,25,2,13,22,34,37,48,5,6,7,17,18,20,30,36,41,43,1,12,15,21,23,26,32,33,38,39,42,47,49,8,9,10,14,27,28,31,44,3,4,16,19,35,45,46	3870	11	3881	
1	"La imagen muestra un libro titulado ""Diccionario de Uso del Maya Yucateco"" con una portada que incluye una foto de un árbol y un cartel con texto en maya. Junto al libro, hay una carta impresa con el logotipo de la Universidad Intercultural Maya de Quintana Roo."	Junp'éel áanalte' ich maaya t'aan.	Junp'éel áanalte' ich maaya t'aan.		1,13,43,49,6,7,20,2,14,21,22,24,25,34,36,48,11,15,19,27,30,32,37,39,40,44,0,5,12,17,18,26,31,33,41,46,47,4,9,10,16,23,28,29,35,38,45,42,3	3915	16	3931	
2	Dos personas con blusas blancas observan una computadora portátil mientras una tercera persona con una camisa roja se encuentra de pie detrás de ellas. La computadora muestra una pantalla con gráficos y texto, y el entorno parece ser un aula con mesas y sillas.	Oxtúul máak tu táan junp'éel computadora.	Oxtúul máak tu táan junp'éel computadora.		2,36,6,40,41,34,1,11,13,15,20,21,22,24,25,30,32,33,37,49,7,10,14,16,17,19,35,39,43,44,47,48,0,9,12,18,26,27,28,31,5,23,29,38,42,46,3,4,8	3878	16	3894	
3	La imagen muestra una taza negra llena de un líquido oscuro, posiblemente café, sobre una superficie de madera clara. La taza tiene un asa redondeada y está iluminada por una luz que provoca reflejos en su interior.	Junp'éel boox nu'ukul uti'al u uk'ul café.	Junp'éel boox nu'ukul uti'al u uk'ul café.		34,13,1,3,6,23,38,40,0,2,7,18,20,22,24,25,48,8,11,14,21,26,27,37,39,41,43,47,4,15,17,19,28,30,31,33,36,42,49,5,9,10,12,16,32,35,44,46,29	3873	20	3893	
4	La imagen muestra varias cajas de madera apiladas en un entorno natural, posiblemente colmenas para la apicultura. Hay humo flotando cerca de las cajas, lo que sugiere que se está utilizando un ahumador para manejar las abejas.	Le lela' tu'ux ku jo'saaj kaab etel ya'ab buts'.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.		13,34,1,4,22,40,6,20,21,24,25,2,7,14,16,19,23,36,43,0,10,15,26,35,37,38,39,41,42,47,48,49,3,5,8,11,12,17,18,27,29,30,31,32,44,45,46,9,28	3829	21	3850	
5	Una botella de plástico transparente con tapa azul está apoyada contra una puerta de metal corrugado con pintura desgastada. La botella contiene agua y se encuentra sobre un suelo de baldosas claras junto a la base oxidada de la puerta.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.		5,34,2,7,10,13,18,20,23,24,40,43,12,21,22,25,37,39,41,49,1,6,11,32,36,44,0,9,17,26,30,38,42,47,48,3,8,14,15,16,19,27,28,31,45,4,33,35,46	3861	21	3882	
6	La imagen muestra una sala con mesas y sillas negras, una ventana que deja entrar luz natural y un foco brillante en primer plano. A la izquierda, se observa parcialmente la silueta de una persona con ropa oscura.	Le lela' junp'éel sasili' ichil najilxook.	Le lela' junp'éel sasili' ichil najilxook.		6,34,1,2,13,7,37,48,10,20,24,36,40,49,11,14,18,19,21,22,25,27,30,39,41,43,44,47,0,9,15,16,23,26,28,31,35,45,5,12,17,29,32,33,38,42,46,3,4	3902	19	3921	
7	Una palmera y un árbol con flores rosadas crecen junto a un muro de concreto bajo un cielo azul claro. El suelo está cubierto de hierba seca y hay un camino de cemento en primer plano.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.		7,49,43,12,6,13,21,25,44,5,11,20,36,22,24,31,32,34,40,45,1,15,17,18,19,30,37,39,41,46,47,2,9,10,23,26,0,14,28,33,38,48,4,8,16,27,29,35,42	3900	36	3936	
8	Una araña pequeña de color oscuro se encuentra sobre una superficie blanca lisa, cerca de una línea que separa la pared del suelo. La araña tiene patas extendidas y está inmóvil.	Le amo' ti yáan lu'ume.	Le amo' ti yáan lu'ume.		2,8,24,34,13,27,37,1,3,12,18,22,23,38,40,49,0,6,11,17,21,25,41,42,48,7,10,14,16,20,26,36,39,43,44,5,9,15,19,30,31,32,33,46,47,4,28,35,29	3868	11	3879	
9	Una mano sostiene una flor de color rosa claro con cinco pétalos y estambres visibles. En el fondo, se observan palmeras y un cielo azul despejado.	Le lela' jump'éel sakchak' lol.	Le lela' jump'eel sakchak' lol.		9,49,25,36,22,24,37,44,2,6,7,13,15,16,30,32,40,41,43,10,11,12,19,20,31,34,46,0,5,14,17,18,21,26,28,33,39,45,47,1,23,35,38,48,4,27,29,42,3	3894	13	3907	
10	Se observan varias palmeras altas con hojas verdes y troncos grises bajo un cielo azul claro. A la derecha, hay una lámpara de metal.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.		10,7,36,44,49,20,25,32,34,1,9,13,15,19,22,24,27,40,43,2,6,12,31,37,47,11,14,18,21,26,29,30,39,41,45,46,0,5,16,23,28,38,42,48,4,8,17,33,35	3888	25	3913	
11	La imagen muestra un muro blanco con un diseño verde en la parte superior y un símbolo que parece una cruz maya en el centro. Alrededor del muro hay hierba seca y árboles en el fondo.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.		1,11,43,2,6,7,13,14,31,15,20,22,30,34,36,40,47,48,49,0,10,12,21,24,25,27,29,37,4,16,17,26,28,32,33,39,41,44,5,9,18,19,23,35,38,45,46,42,3	3900	46	3946	
12	Una enredadera con hojas verdes y flores rosadas crece a lo largo de una cerca de alambre. El entorno muestra tierra seca y vegetación densa en el fondo.	Junkúul k'áax yaan u loolo'ob de sakchak.	Junkúul k'áax yaan u loolo'ob de sakchak.		12,21,49,7,15,19,40,11,13,14,20,27,30,34,37,43,4,6,17,25,29,31,32,38,39,47,48,1,2,5,10,22,26,28,33,36,41,0,9,16,18,23,24,35,42,45,8,44,46	3892	20	3912	
13	Un coche rojo está estacionado frente a una casa amarilla con ventanas con rejas y un pequeño muro de piedra. Al lado, hay una estructura con un techo de palapa y una cerca de madera blanca.	Junp'éel chak kisbuuts' yaan tu táanil junp'éel k'an naj, tu tséelile' yaan junp'éel xa'anil naj.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.		13,43,23,24,25,6,18,20,40,1,7,21,22,34,36,37,42,48,9,12,38,39,44,49,14,26,41,47,0,2,3,5,8,10,11,15,17,19,30,31,32,4,16,27,28,29,33,35,46	3871	43	3914	
14	La imagen muestra una planta de agave con una alta inflorescencia que tiene múltiples ramas con flores amarillas y verdes. En el fondo, se pueden ver árboles y una estructura metálica que parece soportar la planta.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.		14,36,49,13,25,37,43,1,2,15,22,34,40,44,6,7,12,19,20,41,48,5,10,11,17,21,24,27,30,31,33,38,39,47,0,16,23,26,32,9,18,28,29,35,46,3,4,8,42	3874	23	3897	
15	La imagen muestra un árbol de papaya con frutos verdes colgando de su tronco, rodeado de hojas verdes y secas. En el fondo, se observan otros árboles y plantas tropicales bajo un cielo nublado.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.		15,36,49,19,10,25,40,1,7,32,44,45,2,11,13,20,31,34,37,43,47,14,22,27,30,46,6,12,21,24,26,29,38,41,0,9,16,17,18,23,33,39,48,4,5,28,35,42,3	3903	33	3936	
16	Una flor de color púrpura con un centro rojo está rodeada de hojas verdes en un entorno natural. Las hojas tienen manchas y agujeros, y hay una hoja amarilla en el fondo.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.		15,40,13,16,24,43,6,12,14,22,26,32,47,11,19,20,21,25,30,34,38,49,2,17,29,36,37,39,46,0,1,5,7,9,10,18,23,27,31,33,35,41,4,28,44,45,48,3,8	3883	36	3919	
17	Una gallina blanca con un pico rojo está picoteando el suelo en un terreno despejado con rocas y hojas secas. El entorno es natural, sin elementos que sugieran una influencia cultural maya específica.	Juntúul sak kaax táan u tóochik le lu'umo'.	Juntúul sak kaax  táan u tóochik le lu'umo'.		47,17,40,6,13,43,15,34,2,12,14,20,21,24,25,26,36,37,1,5,7,11,19,22,29,30,32,38,39,41,48,49,0,10,16,18,23,27,28,31,33,35,44,45,4,9,46,3,8	3887	18	3905	
18	Una silla de madera rústica está colocada frente a una puerta con detalles metálicos y pintura roja desgastada. Al lado de la silla, hay un tronco cortado sobre el suelo de concreto.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak' chukwa' tu paach.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.		18,34,43,6,13,40,2,22,24,25,41,1,7,12,17,20,23,36,37,42,49,5,9,11,21,39,0,3,10,14,15,19,26,30,32,38,44,47,48,4,8,27,31,33,35,16,28,29,46	3871	41	3912	
19	La imagen muestra un árbol con un tronco grueso y ramas extendidas, cubierto de hojas verdes. En el fondo, se pueden ver hojas de palmeras y más vegetación.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.		19,49,1,2,13,20,25,34,36,37,40,44,7,10,15,22,32,47,6,11,12,14,21,24,26,29,30,31,41,43,45,0,9,16,17,18,23,27,33,35,38,39,46,48,4,5,28,42,3	3895	29	3924	
