id	prediction	reference	chrfpp_sentence
0	Huyé m+tá há x+ka hewayeneni hipat+ mem+ ka há hauwawe wa hetsiemieme p+ h+k+.	Aitá há puye háne tsiere tek+a huyé tiuka háne mana te+teri memeuka neniere kiekari muwa heye mamaku.	17.7676
1	Huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Huyé wixarika húyeya m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	21.5666
2	Huyé m+xuawe turuki m+ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Huyé muye hápane ya xeik+a aitá, yá p+ré huyé wixarika ya pauka muyé aník+.	16.8539
3	Huyé t+k+a m+k+net+we wixarika, kiepa m+ti háke, heiwa m+ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Kiekari mukumáne huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	19.0705
4	Ukaratsi t+xame t+kame mutsira t+kame nunutsi t+kame, pexeiya xeime autobus tuxame, p+tiu xeiya, huyé m+xuawe turuki m+ka heuta.	Turuki m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	18.5888
5	Hutat+ me m+tiu k+ka xeime cartel Papa Benedicto XVI m+k+ tsie, teyupanie ti tetewat+ muku ut+ka heiwaka tsaturi me m+ wara ye xeiya.	Teyupanie titetewat+ mu ku út+ka kiekari tsie tsepá kewa yak+ m+yeyeu ya xeik+a ám+yeyeu tsie muwa tsiere p+ rá yu ye xeiya.	33.2858
6	Kiekari m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Kiekari m+tama te+teri me mayu ti xexe+riwa hi pat+ me xeiya ya xeik+a me xeiya tatuwani mewa yeka.	22.7622
7	Kiekari m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Teiwarit+a wixaritari mem+ tama ya xeik+a heiwa muwa meuyeneni te meu uwa heiwa yu ku aitanet+ heiwa yu ku há rerutanet+ mana tá kemari tsie puyu hek+a.	24.8514
8	T+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime t+xime	Há tsukari ma wewiya kiekari hix+apa ya xeik+a mana uwá p+ tuiyane turuki tsixi wa hetsie wa+ kawat+, taxari manuye k+ka ya witárita.	4.9127
9	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	Turuki huyeya yemuri ut+a kwauxa tsie reyetewakaku kiekari mukutetewa ya tiu anekaku meuyeneni.	21.7138
