id	prediction	reference	chrfpp_sentence
0	Huyé hápa m+ti xeiya, ya xeik+a, turuki, mawiwe muye axé me xeiya.	Aitá há puye háne tsiere tek+a huyé tiuka háne mana te+teri memeuka neniere kiekari muwa heye mamaku.	10.8961
1	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	Huyé wixarika húyeya m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	21.0286
2	Huyé xeik+a m+xuawe turuki m+ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Huyé muye hápane ya xeik+a aitá, yá p+ré huyé wixarika ya pauka muyé aník+.	18.7973
3	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	Kiekari mukumáne huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	13.7266
4	Uka wewiyame xewit+ nunutsi, wewiya k+a, turuki, ya xeik+a há t+a.	Turuki m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	13.5025
5	Hutat+ meyu há yewa xeime cartel Papa Benedicto XVI, teyupanie ti tetewat+ muku ut+ka, xeime kiekari xetame, calle tsie semáforo meta huyetá.	Teyupanie titetewat+ mu ku út+ka kiekari tsie tsepá kewa yak+ m+yeyeu ya xeik+a ám+yeyeu tsie muwa tsiere p+ rá yu ye xeiya.	30.5273
6	Kiekari meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke, tewi meu ti háke,	Kiekari m+tama te+teri me mayu ti xexe+riwa hi pat+ me xeiya ya xeik+a me xeiya tatuwani mewa yeka.	11.2054
7	Kiekari m+tama ti xexe+riwa, heiwa m+ti murike, xamaru t+a, meteta mariet+ kem+ti ku xaxatsiwa.	Teiwarit+a wixaritari mem+ tama ya xeik+a heiwa muwa meuyeneni te meu uwa heiwa yu ku aitanet+ heiwa yu ku há rerutanet+ mana tá kemari tsie puyu hek+a.	18.9465
8	Taxi xetame meu ti háke, ya xeik+a fábrica meu ti háke, tsiere meu ti háke.	Há tsukari ma wewiya kiekari hix+apa ya xeik+a mana uwá p+ tuiyane turuki tsixi wa hetsie wa+ kawat+, taxari manuye k+ka ya witárita.	13.6302
9	Huyé wixarika h+ritsie m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	Turuki huyeya yemuri ut+a kwauxa tsie reyetewakaku kiekari mukutetewa ya tiu anekaku meuyeneni.	18.1950
10	Huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Huyé tek+a mu ku hápane heiwa neniereme temayeit+wa yemuri aitá, hát+a, aki ut+a nait+ m+tá hek+a.	21.9312
11	Kiekari m+ixa muyu heh+a am+reu tetewi matiwat+, k+yexi a papat+ hurawa rí pumawe k+ ewemete ri naime me puti wite ya nuts+ kuraru, ramaru mepa yeit+a.	Kwáta wixarika ikwaiya yeuta h+ritsie m+ xuawe war+kariet+ yan+st+ni y+y+rit+ máyu kwáa.	19.8594
12	Huyé m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	19.0219
13	Yu hutat+ kemarite ti utá wapait+ tiuye yetsa ya xeik+a m+ tiu ti +xa tsie yu kemarite.	Wixarika im+arieya utsiet+ uti xainék+ ya xeik+a kemarite tiuti t+nirék+.	34.7416
14	Kurtariyari ya xeik+a kaxeta tsimuwaye yewatsie uti xainék+ ya xeik+a kemarite tiuti t+nirék+.	Ikwaite, kemarite, im+arite, tinait+ ti ut+t+ nunutsi m+ kauti axe tsie.	25.3385
15	Piniteme meta kutsiuri m+xuawe yu tsata p+ anene, ya xeik+a xeime kutsiuri tsiere xeime kutsiuri t+ri.	Wixarika yu kie ya p+ ti utá wapait+ tiuye yetsa ya xeik+a m+ tiu ti +xa tsie yu kemarite.	24.7622
16	Tewi m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Ikú yualawime uyari, mana ketari mi ka xakwitsa ti pini ketari me wa ku t+x+.	20.0436
17	Tukipa m+rayu ye xeiyanitsie kawiteru tsixi me puyu ku xexe+riwa mawarika pátineika ya xeik+a hákiya.	Kareta mat+a puretini wixarika mana ti ti kwa at+ kareta tsie p+ ye húpu ya xeik+a yu pinite mana pait+ p+ ti ye pine.	22.0732
18	Tewiyari m+k+t+a kamixa yuawime meta rosa t+xi metate wewiyakame tsie.	Uká yu t+xi p+nat+ ya xeik+a mata tsie papaa p+name mana naime rá pit+.	18.2993
19	Nexari p+y+wi, t+k+t+a, k+yexi tai hetsie t+t+a, tete hornilla hetsie.	Ikwai ya n+ts+ itsari tai tsie p+ tiu ka wewiwa puretini wewiyakame tsie heiwa tenari tsie.	15.7547
20	Ixumeri tewáxi m+tiu ti +xa tsie, wa hetsie tiu unek+ hipat+ k+yexi.	Kuraru payu wewiwa tixa+t+ m+tiukunani ite+ri, m+ya tewáxi muwa mem+ te+ +nar+wani k+.	20.1993
21	Het+a tupiriya, hipat+ kiekarimama mepukutsakai kuraru kuiepa hauxini, turuki mepa yeit+wa m+ni tá há x+a.	Mat+ari x+ka uká wiyé o (witari) x+ka hanuyeyaní tats+arí witarita yu katsut+aka.	16.2120
22	Kiekari m+tama te+teri me mayu ti xexe+riwa hi pat+ me xeiya ya xeik+a me xeiya tatuwani mewa yeka.	Pínite patsixa ti mieme m+ti kaw+w+re kem+reupa+me hipat+ wai meuti n+ +', hipat+ nawá uwá ti niu t+kait+'.	16.6367
23	Haika k+pate ti t+x+ t+x+ri, hipat+ wai meuti n+ +', hipat+ nawá uwá ti niu t+kait+'.	Nawá mawarika tsie mieme ya xeik+a wirikuta, tukipa, its+kame m+rewatiwiya naitsarie peuka tuirike peuti n+it+ariwa, yuimakwaxa, patsixá.	13.7878
24	Haika tewitsixi, xeit+ nunutsi varas k+k+, mepetiyaxix+ het+a xeit+ wapait+ globos k+k+ meta bandera mexicana, rekatei xeit+ ki etsiwa naime yemek+ ki etsikuera.	Te+teri me mayuti xexe+riwa xamaru t+a, meteta mariet+ kem+ti ku xaxatsiwa.	20.4067
25	Huyé m+ni tá há x+a, globos meta banderas me xeiya, nait+ mexicana, ixumeri me xeiya, meta h+ri pauyuyepi.	Wixarika ix+arari matinenet+wa mat+ari p+ránu taw+w+t+wa aix+ m+tiyu he k+akaku m+rayu kemakak+.	12.7335
26	Huyé m+k+net+we wixarika, h+ri, neuxi, wak+ri, p+ ikwaiya aimieme pi í te+ta.	Hát+a há x+ka hewayeneni witarita nait+ pe+y+y+ipike atewa puku at+yeika.	15.7850
27	Kiekari turuki, kiyari paja, ukari, tetexi, muyuawi, m+ti xuawe.	Kiekari manu ye háne yak+ m+yeyeu yu tsata kareta peuti ú, yu nait+mat+ kí x+nariya k+ wewiyat+kait+.	15.2269
28	H+ritsie muye hápane ya xeik+a aitá, ya p+ré huyé wixarika ya pauka muyé aník+.	Muku haiyata x+ka ka wiyer+meni hipat+ e'tsiya me mu ka ts+ts+t+wa hipat+ yu tewamá mem+ te wara ku k+w+t+wa.	11.3758
29	Kiekari m+k+ t+tsie m+tiuka xuawe, turuki m+tiuka xuawe, ramaru m+tiuka xuawe.	Ki muxuawe yu tsata p+ anene ik+xeniu t+ri mem+ te wa +ki t+arie aix+ p+ reuku wewiyat+ká, wa hetsie tiu unek+.	16.5033
