id	prediction	reference	chrfpp_sentence
0	Se siuatsintli ika xochijyo xonbelo kitlajtlachia tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	28.2487
1	Se tlakatsin ika xonbelo uan youik tlaken tlachixki ipan se tetl.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	24.7272
2	Se tlakatl ika iztak tlakemitl tlajtoua ipan se tlapechtli.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	25.0174
3	Ome tlakamej motlalilijkej ika se foto. Se tlakentok ika kamisa ika tlachiualli uan okse ika youik kamisa uan se pañuelo.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	35.7436
4	Sekimej tlakamej uan siuamej motlakentijtokej ika inaltepetlaken, motekouiaj ipan se karro chichiltik.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	26.3851
5	Yexpa siuamej ika inxochitlakentij kipixtokej vasos de plástico.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	22.2497
6	Se ohuatlajtoktli ika kuauhtejpantli uan tlauitsoli.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	21.0288
7	Se tlakatsin kikuijtok se topiltsi.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	18.1847
8	Se pitsauaxochitl ika istakxochitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	23.7806
9	Se kuauitl ika yankuik xiuitl uan kostik xochimej.	Seki uajxilxochitl tlen yikin kueponij.	21.0651
10	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" ika se tokatl ipan."	Se gladiolajxochitl non achtsin youakik.	22.6003
11	Se kostik senpoalxochitl inauak se tepantli.	Se kualtsin senpoalxochitl non melajka xochitl.	35.0325
12	Se ojtli tlen tlakoloua uan semi tlamixtentok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	27.4215
13	"Se xochitl tlen kiluiaj ""kuaxiloxochitl""."	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	21.5042
14	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" non youakik."	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	20.7889
15	Se tlalxochimil inauak kuajyo. Ik uejka tepeyo ika se tlatsompan tlajtlapaltik.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	25.0695
16	Nahui tlakamej kintlakualchijchiuaj. Ome siuamej kitejteki kilitl.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	23.5583
17	Se siuatsintli ika ihuepil tlen xochijyo kitejteki nakatl.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	27.3341
18	Se kuajyo ika miakej kuaujtleno uan seki xikojtli.	Se xonokuauitl ika xonokuilmej.	23.7258
19	Se uejka tepeyo uan tlamixtentok.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	18.4404
20	Se tlakatsin tlatlajtlachialtia ipan se ojtli ijtik se kuautla.	Se siuatsintli nemi ipan se teyo ojtli kanin kuajyo.	32.4920
21	Se kuauhtlatsakuil ipan se tepetl. Tlamixtentok.	Se tepetsintli kiyaualojtok kuautitlamitl uan semi tlamixtentok.	30.8043
22	Sekimej maseualmej tlachixtokej se tiankistli.	Itech se mantajkaltsintli kintetliokolilia tlakuali akinmej uejka uitsej. Nochtin motlakentiaj ika inmialtepetsotsol.	11.0500
23	Se ixtlauaktsintli inauak tepeyo. Ik uejka kajki se altepetl.	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok tepeyo uan mixtli.	31.6992
24	Se xochitl non achtsin xochiyoua.	Se kostik senpoalxochitl.	26.5889
25	Se pitsauaxochitl ika youik xiuitl.	Se matlalxochitl kualtsin uan se non yopitsuakik.	21.9867
26	Se atemoktli ipan se tetl.	Se ameyali uetsi ipan temej ijtik tepetl.	23.6197
27	Se talkamoj non kipia iyollo.	"Seki tlalkamojtli uan se motasneki ken se ""yolotl""."	17.8373
28	Se ameyali uetsi intzalan temej uan xiuitl.	Se ueyatsintli ika temej tlen ipan tlapajpakaj.	23.3808
29	Sekimej tlakamej uan siuamej tlachixkej se mikakaxitl.	Seki altepetlakamej uan topilmej kitookaskej akin omomikili. Katej itlanpa se kuauitl uan ik uejka kajki se tepetl ika se ojtli itlajkotia.	16.0179
30	Se kuetzpalin ika ixikuitlapil texotik ipan se tetl.	Se topiltsi okiski omototonito ipan se tetl.	39.3221
31	Se ateskatl ika xiuhtik atlatl.	Se ateskatl inauak se kali. Kiyaualojtok kuajyo.	27.6715
32	Se atoyatl ika kuajyo uan mixtli. Ik uejka kajki se tepetl.	Ateskatl ika ateskilitl inauak kuajyo.	29.9802
33	Se siuatsintli motlakentok ika xochitlakemitl, motekipachojtok ipan se kuauitl.	Se siuatsintli ika itlaken xochijyo itlanpa se aueuetl uejkapantik.	38.6338
34	Se tlakatsin kipixtok ima se xiuitl.	Serakilitl, xokok uan uelik ika se tlaxkali.	17.8277
35	"Se xochitl tlen kiluiaj ""tlaxochitl""."	"Xiuitl non kiluiaj ""kajkauapajtli"" uan tlapaleuia ijkuak ikaj aminajtok."	16.4833
36	Ipan se tepuzcaxitl motzoyonia chiltoton ika comino.	Seki soyonkej chilmej.	16.9584
37	Se milpan non uejueyia, inauak kuajyo uan tepeyo. Tlamixtentok.	Se gladiolajtooktli inauak se mila. Ik uejka tepeyo uan tlamixtentok.	38.1226
38	Se kuauitl ika xoxoktik ixiujyo.	Se mamayotsintli kinextia yankuik xiuitl.	19.8035
39	Se koatl non kinextia itlakayo inauak se kuauitl uan talcuechactzin.	"Se kouatl non kiliaj ""palanka""."	28.8596
40	Se tepetl ika miakej kaltsitsintin.	Miakej kalmej ipan tepetl.	38.2267
