id	prediction	reference	chrfpp_sentence
0	Há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+ka m+tá hek+a, há x+	Aitá há puye háne tsiere tek+a huyé tiuka háne mana te+teri memeuka neniere kiekari muwa heye mamaku.	9.1542
1	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	Huyé wixarika húyeya m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	21.0286
2	Tete xeik+a m+xuawe turuki m+ka heuta háke tsie nait+ aix+ p+ ka tiu ane.	Huyé muye hápane ya xeik+a aitá, yá p+ré huyé wixarika ya pauka muyé aník+.	15.7027
3	Huyé atewa m+k+ wixarika, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m+reuti pine, kiepa m	Kiekari mukumáne huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	13.2724
4	Xewit+ y+xa+yeme, mutsira, nunutsi, xeime kaxu tuxame, huyé, turuki.	Turuki m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	12.6270
5	Huta te+teri me m+tiu k+ka xeime cartel Papa Benedicto XVI m+tiu k+ka, xeime iglesia muku ut+ka heiwaka tsaturi me muku ut+ka, xeime edificio xetame, xeime calle semáforo meta vehículos.	Teyupanie titetewat+ mu ku út+ka kiekari tsie tsepá kewa yak+ m+yeyeu ya xeik+a ám+yeyeu tsie muwa tsiere p+ rá yu ye xeiya.	15.1042
6	Tewi m+k+net+we karito ti ikuai, teyupanie ti tetewat+ me m+ wara ye xeiya.	Kiekari m+tama te+teri me mayu ti xexe+riwa hi pat+ me xeiya ya xeik+a me xeiya tatuwani mewa yeka.	22.6671
7	Kiekari m+tama ti xexe+riwa, xamaru t+a, meteta mariet+ kem+ti ku xaxatsiwa.	Teiwarit+a wixaritari mem+ tama ya xeik+a heiwa muwa meuyeneni te meu uwa heiwa yu ku aitanet+ heiwa yu ku há rerutanet+ mana tá kemari tsie puyu hek+a.	15.5992
8	Taxi amarillo m+tiu mieme huyé, ya xeik+a fábrica m+tiu háke, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe, m+tiu xuawe,	Há tsukari ma wewiya kiekari hix+apa ya xeik+a mana uwá p+ tuiyane turuki tsixi wa hetsie wa+ kawat+, taxari manuye k+ka ya witárita.	14.3257
9	Huyé wixarika m+ya ke m+tikuyeika, h+ritsie, turuki, metá tsiere tewáxi mana me muk+k+ka.	Turuki huyeya yemuri ut+a kwauxa tsie reyetewakaku kiekari mukutetewa ya tiu anekaku meuyeneni.	18.7741
10	Huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Huyé tek+a mu ku hápane heiwa neniereme temayeit+wa yemuri aitá, hát+a, aki ut+a nait+ m+tá hek+a.	21.9312
11	Kiekari k+ye x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka x+ka	Kwáta wixarika ikwaiya yeuta h+ritsie m+ xuawe war+kariet+ yan+st+ni y+y+rit+ máyu kwáa.	6.4025
12	Huyé wixarika m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	Huyé atewa mieme wixarika, huyeya, turuki, metá tsiere tewáxi mana me muk+k+ka.	24.1080
13	Yu hutame kemarite ti utá wapait+ tiuye yetsa ya xeik+a m+ tiu ti +xa tsie yu kemarite.	Wixarika im+arieya utsiet+ uti xainék+ ya xeik+a kemarite tiuti t+nirék+.	34.4064
14	Kurtariteta ya xeik+a kaxeta muku ut+ka, ixumeri m+ti xuawe, ya xeik+a im+arieya utsiet+ uti xainék+.	Ikwaite, kemarite, im+arite, tinait+ ti ut+t+ nunutsi m+ kauti axe tsie.	25.1185
15	Pinita meta kutsiuri m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Wixarika yu kie ya p+ ti utá wapait+ tiuye yetsa ya xeik+a m+ tiu ti +xa tsie yu kemarite.	24.7609
16	Tewi m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Ikú yualawime uyari, mana ketari mi ka xakwitsa ti pini ketari me wa ku t+x+.	20.0436
17	Hutame me mayuti xexe+riwa xamaru t+a, meteta mariet+ kem+ti ku xaxatsiwa.	Kareta mat+a puretini wixarika mana ti ti kwa at+ kareta tsie p+ ye húpu ya xeik+a yu pinite mana pait+ p+ ti ye pine.	16.0144
