id	prediction	reference	chrfpp_sentence
0	Le miiso' te chilikbal yookol le k'áanche'o'.	Juntúul miis ku weenel	10.0435
1	Le lela' junp'éel ju'un tu'ux ku ts'íibta'al bix u t'aan maaya.	Junp'éel áanalte' ich maaya t'aan.	31.3442
2	Óoxp'éel máako'ob táan u xooko'ob yéetel computadora.	Oxtúul máak tu táan junp'éel computadora.	44.8283
3	Jump'éel éek' k'at yéetel u ja'il k'aax.	Junp'éel boox nu'ukul uti'al u uk'ul café.	15.9543
4	K'abnal ku ts'u'uts'ik u k'áak'il u yóok'ol u yich k'abnal.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	13.9053
5	Junp'éel botella yaan ja'il tu tséel junp'éel puerta.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	18.7805
6	Junp'éel naj tu'ux yaan mesa'ob yéetel k'áanche'ob boox, tu tséelile' yaan junp'éel ventana tu'ux ku táaj sáasil.	Le lela' junp'éel sasili' ichil najilxook.	24.0482
7	Junkúul xa'an yéetel junkúul chak lool yaan tu tséel junp'éel pak' yéetel junp'éel bej.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	21.5643
8	Juntúul chan am ku máan yook'ol pak'.	Le amo' ti yáan lu'ume.	13.6341
9	Juntúul máak ku k'aaxik junp'éel lool, paachile' ya'akach xa'ano'ob yéetel sáasil ka'anal.	Le lela' jump'eel sakchak' lol.	16.6234
10	Ya'abach xa'ano'ob ya'ax u le'o'ob, yéetel sak u k'abo'ob, yóok'ole' azul le ka'analo', tu tséelile' yaan junp'éel sáasil.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	20.5134
11	Le lela' junp'éel koot sak yéetel ya'ax u bonil, yaan xan junp'éel cruz ichil.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	25.8611
12	Le xa'an ti yaan aktáan le bardao'.	Junkúul k'áax yaan u loolo'ob de sakchak.	13.6431
13	Chak kisbuuts' ti' yaan tu táan junp'éel k'an naj.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	38.3273
14	Le lela' junp'éel pak'al ya'ax, ya'ab u loolo'ob k'an yéetel ya'ax.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	18.7564
15	Junkúul put yaan u yich, paachile' ya'akach che'ob yéetel k'áaxo'ob, yóok'ole' ya'ab muñalo'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	33.9646
16	Junkúul chak lool yaan u le' ya'ax.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	26.3570
