id	prediction	reference	chrfpp_sentence
0	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	100.0000
1	Se tlakatsintli ika xonbelo uan tliliuik tlakemitl moseuijtok ipan se tetl. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	64.2303
2	Se tlakatsintli motlakentok ika iztak kamisa uan pantalon, moseuijtok ipan se iztak silla, tlachixtok ik se tlakatl non tlatlatzintok.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	22.7926
3	Ome tlakamej motlajtlachialtiaj. Motlakentijtokej ika sejse ialtepetlaken.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	61.5559
4	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	100.0000
5	Eyi siuamej motlapouiaj. Motlakentijtokej ika xochitlakemitl.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	48.7420
6	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	100.0000
7	Se tlakatsintli kipixtok ima se palankatsin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	50.9748
8	Se xochitl ika istak ixiujyo uan se nextik itlajko.	Seki Yolitisxochitl uan se ajyoxiuitl.	35.5819
9	Se xochitl ika xochimej kostikej.	Seki uajxilxochitl tlen yikin kueponij.	20.1148
10	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" non achtsin youakik."	Se gladiolajxochitl non achtsin youakik.	59.3823
11	Se kualtsin senpoalxochitl non melajka xochitl.	Se kualtsin senpoalxochitl non melajka xochitl.	100.0000
