idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un gato atigrado duerme acurrucado en una cama para mascotas con bordes grises y un patrón de zigzag multicolor. La cama está sobre un tapiz con motivos geométricos rojos y azules, y el fondo muestra una pared azul y un suelo de baldosas claras.	Le miiso' te chilikbal yookol le k'áanche'o'.	Juntúul miis ku weenel		5,7,18,22,30,37,40,46,1,3,24,28,33,35,38,39,41,47,48,2,6,9,10,11,14,15,16,17,19,20,25,26,27,31,32,34,36,44,49,4,8,12,21,23,42,43,45,13,29	4265	19	4284	
1	"La imagen muestra un libro titulado ""Diccionario de Uso del Maya Yucateco"" con una portada que incluye una foto de un árbol y un cartel con texto en maya. Junto al libro, hay una carta impresa con el logotipo de la Universidad Intercultural Maya de Quintana Roo."	Le lela' junp'éel ju'un tu'ux ku ts'íibta'al bix u t'aan maaya.	Junp'éel áanalte' ich maaya t'aan.		11,33,22,30,6,7,14,15,19,20,24,27,38,49,0,3,18,31,40,44,45,48,2,4,16,17,21,23,26,32,37,39,46,5,9,10,12,13,25,28,34,35,36,41,43,47,8,29,42	4259	32	4291	
2	Dos personas con blusas blancas observan una computadora portátil mientras una tercera persona con una camisa roja se encuentra de pie detrás de ellas. La computadora muestra una pantalla con gráficos y texto, y el entorno parece ser un aula con mesas y sillas.	Óoxp'éel máako'ob táan u xooko'ob yéetel computadora.	Oxtúul máak tu táan junp'éel computadora.		31,33,6,30,14,15,20,22,27,36,47,48,0,1,5,9,10,11,18,19,24,28,35,37,38,44,12,16,21,23,25,32,39,40,41,42,45,46,49,3,4,7,8,17,26,34,13,29,43	4259	23	4282	
3	La imagen muestra una taza negra llena de un líquido oscuro, posiblemente café, sobre una superficie de madera clara. La taza tiene un asa redondeada y está iluminada por una luz que provoca reflejos en su interior.	Jump'éel éek' k'at yéetel u ja'il k'aax.	Junp'éel boox nu'ukul uti'al u uk'ul café.		33,4,6,38,0,1,8,14,22,23,30,35,37,40,41,11,15,18,20,24,26,27,28,31,39,48,5,19,32,34,43,47,2,7,13,16,17,21,36,42,44,45,46,49,9,10,12,25,29	4255	22	4277	
4	La imagen muestra varias cajas de madera apiladas en un entorno natural, posiblemente colmenas para la apicultura. Hay humo flotando cerca de las cajas, lo que sugiere que se está utilizando un ahumador para manejar las abejas.	K'abnal ku ts'u'uts'ik u k'áak'il u yóok'ol u yich k'abnal.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.		38,3,22,27,35,1,6,20,23,30,31,33,0,11,14,15,16,19,24,39,40,43,2,8,10,12,13,17,18,26,28,32,37,41,45,47,5,7,34,36,42,44,48,49,9,21,25,46,29	4246	33	4279	
5	Una botella de plástico transparente con tapa azul está apoyada contra una puerta de metal corrugado con pintura desgastada. La botella contiene agua y se encuentra sobre un suelo de baldosas claras junto a la base oxidada de la puerta.	Junp'éel botella yaan ja'il tu tséel junp'éel puerta.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.		18,0,7,24,37,39,10,26,33,34,38,46,2,6,8,22,28,30,32,36,40,41,42,47,1,3,9,13,23,25,27,31,35,43,44,45,14,15,16,17,19,20,21,48,49,4,11,12,29	4254	22	4276	
6	La imagen muestra una sala con mesas y sillas negras, una ventana que deja entrar luz natural y un foco brillante en primer plano. A la izquierda, se observa parcialmente la silueta de una persona con ropa oscura.	Junp'éel naj tu'ux yaan mesa'ob yéetel k'áanche'ob boox, tu tséelile' yaan junp'éel ventana tu'ux ku táaj sáasil.	Le lela' junp'éel sasili' ichil najilxook.		33,30,20,27,31,38,1,2,3,14,22,24,36,37,47,7,11,15,19,28,32,35,48,0,4,5,10,23,25,39,40,41,44,9,12,18,21,26,34,42,45,8,13,16,17,43,46,49,29	4256	49	4305	
7	Una palmera y un árbol con flores rosadas crecen junto a un muro de concreto bajo un cielo azul claro. El suelo está cubierto de hierba seca y hay un camino de cemento en primer plano.	Junkúul xa'an yéetel junkúul chak lool yaan tu tséel junp'éel pak' yéetel junp'éel bej.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.		43,47,49,10,30,36,45,46,0,1,5,11,12,18,21,28,37,39,40,6,9,13,15,16,22,25,27,32,33,41,44,48,17,19,20,24,34,38,14,23,26,29,31,35,2,3,42,4,8	4239	40	4279	
8	Una araña pequeña de color oscuro se encuentra sobre una superficie blanca lisa, cerca de una línea que separa la pared del suelo. La araña tiene patas extendidas y está inmóvil.	Juntúul chan am ku máan yook'ol pak'.	Le amo' ti yáan lu'ume.		3,5,37,0,14,24,39,40,42,49,1,2,4,6,18,22,30,33,43,44,46,48,9,10,11,13,16,17,23,26,27,31,34,35,38,41,45,47,7,12,15,19,20,25,28,36,21,32,29	4264	15	4279	
9	Una mano sostiene una flor de color rosa claro con cinco pétalos y estambres visibles. En el fondo, se observan palmeras y un cielo azul despejado.	Juntúul máak ku k'aaxik junp'éel lool, paachile' ya'akach xa'ano'ob yéetel sáasil ka'anal.	Le lela' jump'eel sakchak' lol.		10,15,24,30,36,37,7,16,19,22,25,31,33,40,44,0,2,14,28,34,39,41,43,46,47,1,5,6,21,23,27,32,42,45,48,49,11,12,17,18,20,26,35,38,3,8,13,29,4	4263	42	4305	
