idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	La imagen muestra una calabaza pintada con motivos florales negros y blancos, colgada por un hilo verde. En el fondo, se observan otras calabazas con diseños similares, pero el entorno está desenfocado.	Mè̱wö mó̱tchërki újkö mi̱k. Ie' wö̀a má̱t, i ulà mika i wö́rke ta̱î̱ë.	Mè̱wö bitsì̱, i ki̱ka íyi diö́köl yö’tso wè̱s dù diö́köl ês.	6952,2860,6991,2117,7428,6920,6463,6123,2040,6289,2861,4606,7127,3985,1855,5905,6939,7339,6642,4574,7462,4563,6672,1133,6176,4188,4189,2702,1500,5307,976,7259,6194,7416,7211,1239,4995,1203,1261,4828,7048,3911,741,802,5207,6154,6906,4709,4677,7121,5495,691,1023,978,6779,6458,7443,6819,1439,6568,7247,5961,6467,5202,1755,6823,1262,4305,4306,2663,7166,977,1717,4509,5259,6858,7178,4851,1351,4697	29,12,27,43,44,45,3,6,15,24,41,2,4,7,9,19,22,23,28,30	5435	44	5479	
1	Una persona está envuelta en una manta de colores con patrones geométricos, posiblemente de origen indígena, que cubre su cuerpo y parte del rostro. La manta tiene bordes amarillos y azules, y la persona parece estar sentada contra una pared de textura áspera.	Pë' tso' kàl wö̀a sarûrû, i wö̀a dör tsikirîrî e̱na̱ tsipátsipa. Ie' tso' ù wö̀a a̱.	Alà âr sku’ a̱. ês ie’pa rö alà tsè̱ke. Sku’ wö̀a krôrô.	3967,1208,1246,6417,5049,5885,4035,4987,6462,6878,6568,3911,1351,1564,6043,1728,5879,7182,6890,1868,4750,2278,1092,6088,4570,6207,2117,6585,7139,1215,6480,2868,5233,6768,2463,5982,2741,6140,6670,616,4563,4828,6259,4646,1211,1023,7267,6217,7002,6869,5577,1226,5149,2861,6194,1431,6228,5521,5969,5543,2052,7191,5289,1841,4535,6958,6073,2146,6467,6563,1214,7162,6302,7135,2627,6438,3830,6665,6549,4023	6,8,11,19,22,24,26,43,44,45,47,49,3,7,9,15,20,28,29,33	6062	53	6115	
2	La imagen muestra un plato negro con arroz mezclado con frijoles y verduras, acompañado de plátanos fritos y empanadas. El plato está sobre una mesa cubierta con un mantel de flores azules y blancas.	Chkòq dalôlô tso' chkòq kĩ. I tso' átu, chkòq, kalóqm, ẽnã chkòq.	Chkö̀ a̱ àrros tso', átu cha̱mù̱tak e̱na̱ krò tak. Chkö̀ ña̱' bua'ë.	2117,1023,7137,1755,4677,5302,7428,4639,5970,6939,2999,4865,6920,823,7461,6123,4827,1265,4606,2860,6952,6672,2868,2861,5907,1702,5954,6947,6194,6878,7470,5521,2702,2669,1246,6801,7462,6415,6848,1414,4557,6585,55,7071,691,5495,716,2052,1133,2666,4646,4574,7106,6819,4059,6906,3985,1138,1882,2385,5908,6685,6944,7263,4785,1226,6289,1868,288,1827,2512,775,1728,2115,7127,7259,6914,1203,1261,2395	43,6,45,0,3,14,15,16,22,41,9,19,24,27,35,37,44,48,7,11	5654	42	5696	
3	Una persona viste una chaqueta azul y sostiene un racimo de plátanos verdes y amarillos en un entorno rústico con estructuras de madera y hojas secas. En el fondo, se observan frutas, vasos y dispensadores de plástico sobre una mesa de troncos.	Pë' tso' cha̱mù̱ wö́k. Ie' tso' cha̱mù̱ wö́k. Ie' tso' cha̱mù̱ wö́k.	Akë́kë tso' cha̱mú̱li ajkáchök. Ie' wa̱ cha̱mù̱ tso' ie' ù a̱. Ie' apàio si̱ê̱	1246,6568,2117,4563,1728,5577,6233,6043,7182,4535,6958,4035,4987,5907,1138,2463,6827,6878,7071,7200,7330,5543,1431,4828,7428,1564,3967,6807,2868,5908,6194,6123,1868,6480,7267,6217,7236,1208,3822,5521,1226,2418,3789,6417,6664,1882,2385,6917,6515,4331,2133,4556,4785,4750,6869,1414,1382,6462,717,1588,2597,6438,1525,3830,4639,6073,6665,7431,2395,4646,5646,6819,1023,1351,4627,649,2252,4677,5982,7460	29,37,12,41,15,16,19,42,0,20,24,28,33,38,43,2,7,8,9,10	5977	48	6025	
4	Una persona camina por un río con agua hasta las rodillas, llevando una mochila y una camisa con estampado. El entorno es selvático con densa vegetación en la orilla.	Pë' tso' di' a̱, ie' kalö̀io di' a̱. Ie' sku' tso' ie' tsĩ kĩ. Ie' apàio wö̀a sarûrû.	Wë́m tso’ shkö́tchö di’ a̱. Ie’ wa̱ dalì dàmi̱. Ie’ wak dör êköl.	237,6088,7428,4397,4828,6123,2860,2861,1351,4563,7127,6991,7048,7360,6194,6463,7416,6915,1208,7462,6043,6011,6585,5408,2101,5885,6296,6945,1431,664,680,682,4083,387,1727,3791,3851,3853,4011,4036,4044,4051,4054,4056,5357,685,4035,4987,6467,6920,5307,1246,6723,4995,6132,1023,2719,5764,6779,6549,3140,4869,3967,5049,6515,6939,288,1827,2512,2423,6227,2422,4385,4386,4389,2547,1755,994,6140,4535	19,0,6,20,25,27,32,37,41,42,3,23,24,26,29,33,45,48,49,7	5136	51	5187	
5	2	Dö́köl	Kula' dakilîlî yö'tso i ku̱a̱ki ë̀. Êrë idir ák. Ák wa i yö̀ne̱.	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79	0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	4151	5	4156	
6	La imagen muestra a un grupo de personas, incluyendo adultos y niños, vestidos con ropas simples, posando frente a una estructura cubierta con hojas de palma. Un perro está sentado entre las personas, y la escena parece estar en un entorno rural con vegetación alrededor.	Ie'pa bák se' shkë́ki ie, Wö́su̱k ie'pa e̱' chö tö irir ká̱ bulu' e̱na̱ ie'pa wö̀ki kò̱s íyi tso' e' wë́rke . Ká̱ i̱â̱i̱â̱ ie'pa bák sè̱nu̱k ká̱ i' ki̱.	Bulú kalépa, ie’pa wakpa sè̱ne̱ ká̱ ta̱î̱ë. Ie’pa ië́te̱n dabòp ki̱ ské̱l. Ie’pa dapàna̱ ù sulë pámi̱k.	7462,5970,7428,731,795,5218,2702,1023,6958,4052,6914,7263,6123,7259,2538,7470,2999,4865,2117,7098,2040,1755,4606,6672,4521,6848,4967,6156,5495,201,1865,6231,7180,4535,6685,6944,4828,7204,6503,132,5521,5954,6585,2041,6920,6871,2861,296,2597,5548,2395,5635,5907,1830,7361,3993,4574,7257,2490,7210,3906,3908,5307,4677,5302,775,7048,6043,348,1776,4882,6906,2860,6782,7349,3978,1180,370,7490,3973	24,48,10,17,35,45,14,16,23,42,43,46,49,0,2,7,9,11,19,20	5635	93	5728	
7	Tres personas vestidas con taparrabos y cintas en la cabeza se encuentran en un paisaje verde con montañas al fondo, cerca de una estructura con techo de paja. Un armadillo, una tortuga y un loro de colores están en el suelo frente a ellos.	Bulú kalépa, ie’pa wakpa sè̱ne̱ ká̱ ta̱î̱ë. Ie’pa ië́te̱n dabòp ki̱ ské̱l. Ie’pa dapàna̱ ù sulë pámi̱k.	Kayö́, tsawì, kuë̀ e’ tso’ íyiwak wak wa. Ká̱bata a̱ ka̱mî̱ë íyiwak wak sé̱rke.	7428,6123,4828,4535,6958,288,6585,7259,6991,7462,2117,6194,1023,4011,7048,6515,5954,6568,947,2702,7470,7274,3003,1609,5307,5521,7416,6672,4634,7058,6823,6915,5970,2999,4865,6848,4574,6871,6685,6944,6920,6417,7200,6043,7263,1865,7285,731,795,5218,7267,6463,1246,7061,5907,7182,6914,1431,1714,3888,7425,1070,6467,6906,4677,1776,4882,6642,2860,5495,6811,7098,4331,2597,4606,4750,2741,4563,2861,4069	8,24,38,18,19,26,28,32,35,46,49,6,9,15,23,25,27,29,33,37	5813	59	5872	
8	Una persona con una serpiente enrollada alrededor de su cuerpo entrega un objeto a otra persona que lleva una prenda blanca. En el entorno, hay una estructura con techo de hojas, una canasta, una fogata, un árbol y dos personas en el fondo, todo en un paisaje con montañas y vegetación.	Pë' tkabèq wa ie' wö̀a tsikìrîrî, ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsik	Ká̱pake dör iche tö íes tchabë̀köl tsikìne̱. Bö́l kàl daléwa pë’ tso’ i wéblök.	4828,6043,1208,7428,6123,6088,7462,6194,1351,6515,2860,4535,6958,6991,3967,6549,7127,2861,4397,7048,2423,5049,5885,4563,3791,3851,3853,4011,4036,4044,4051,4054,4056,5357,2463,1431,6463,7416,4035,4987,6988,6915,5764,6569,1246,6585,6480,7267,5376,2101,2422,4385,4386,4389,7200,5879,237,5991,6632,5622,6217,4524,685,4750,6869,5149,4023,5408,6489,6945,4970,6785,6462,6011,5982,7460,7182,1021,270,271	7,11,26,15,19,35,49,18,28,29,32,42,1,3,9,22,24,25,27,43	5247	120	5367	
9	La imagen muestra el interior de una estructura con un techo circular elaborado con hojas secas dispuestas en patrones concéntricos. Se pueden observar vigas de madera que sostienen el techo.	Ù sulë batà a̱ mi̱k ka̱m i pà bánu̱a̱. Ie' ujkö a̱ kàl tkë́rke.	Ù tsà̱bita a̱ ta̱ idir yirîrî. E' yawèke ùkö wa, tsî̱ne̱t a̱ñì̱ ó̱mi̱k.	6845,6991,7470,6194,6088,7428,717,6811,6463,6123,5548,4697,2666,5543,6467,7127,7469,2739,6585,7040,2860,6642,7061,4555,4574,6856,7462,6672,1133,6176,1830,2702,2165,7259,7416,2607,7169,294,295,6932,7267,1203,1261,4828,7048,6090,7212,741,802,5207,6154,1023,6823,5495,5408,6568,978,6779,6458,7443,1713,775,6426,4750,4535,6958,1609,2665,7399,4545,4606,5202,1262,4305,4306,7168,2663,7166,6871,977	24,23,43,17,28,35,41,6,7,10,15,16,27,45,48,0,3,8,14,18	5472	37	5509	
