idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Una persona con sombrero de paja adornado con flores mira un paisaje montañoso bajo un cielo azul claro. Lleva ropa oscura y su cabello oscuro cae por la espalda mientras observa el horizonte.	Se siuatsintli ika xochijyo xonbelo kitlajtlachia tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	16146,16168,16165,16178,16160,16148,16177,16174,16185,16151,16194,16161,16166,16167,16187,16189,16176,16147,16162,16183,16180,16150,1042,6623,16182,1799,16152,16181,16164,3814,15930,16163,16190,4953,3807,11322,15797,972,2142,12944	1,3,20,21,23,31,33,42,49,7,15,18,22,32,37,38,40,5,6,9,17,19,26,29,35,41,2,4,8,14,16,27,36,43,44,45,47,10,11,13,39,46,48,24,25,28,30,34,12	7284	26	7310	
1	Una persona con sombrero y ropa oscura está sentada sobre una roca en un entorno montañoso con vegetación. Sostiene un bastón y tiene una mochila a su lado.	Se tlakatsin ika xonbelo uan youik tlaken tlachixki ipan se tetl.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	16145,16194,16165,16179,16178,16187,16152,16171,16169,16183,16162,16175,16159,16155,16167,16148,16161,16188,16189,16180,16153,13278,16186,16173,16191,16158,13359,15797,2142,15930,16181,1406,16160,16192,16166,9594,4270,12410,14801,4145	49,0,17,33,42,7,20,4,18,22,24,26,34,38,41,8,10,13,14,16,35,36,43,46,47,2,3,5,9,11,15,21,27,28,31,37,39,44,45,48,6,23,29,30,32,40,19,25,12	6884	26	6910	
2	Un hombre en ropa blanca habla desde un púlpito de madera en un salón con paredes blancas y azules, mientras varias personas sentadas en sillas plásticas lo escuchan.	Se tlakatl ika iztak tlakemitl tlajtoua ipan se tlapechtli.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	16161,16162,16150,16145,16174,16165,16178,16146,16151,16167,16194,10556,9109,11250,12944,16148,8507,1279,14664,1008,12171,4250,9170,12514,16166,7087,6818,414,15010,2142,2020,407,11251,16182,2064,16168,16163,1961,1647,5715	5,16,17,49,0,3,6,18,20,22,29,33,37,1,4,7,8,10,14,15,21,31,35,36,38,42,43,46,47,48,9,11,13,23,24,26,27,28,32,34,39,40,41,45,25,44,12,19,30	7198	22	7220	
3	Dos hombres posan para una foto al aire libre; uno lleva una camisa blanca con bordados tradicionales y el otro viste una chaqueta oscura con pañuelo colorido al cuello. Detrás de ellos se observa un espacio público con árboles, personas y vehículos.	Ome tlakamej motlalilijkej ika se foto. Se tlakentok ika kamisa ika tlachiualli uan okse ika youik kamisa uan se pañuelo.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	16167,16145,16161,16150,16146,16174,16181,16194,3807,16193,16182,16183,9766,16162,16165,16160,16168,12286,16152,16178,3525,7786,15930,16179,16190,16189,16187,9028,16157,13981,16176,2344,1406,893,2142,891,3643,16166,810,14395	22,0,37,5,29,31,33,36,38,49,4,7,16,23,48,2,13,14,15,17,18,20,21,32,39,41,42,44,45,1,8,9,10,11,19,25,26,35,40,43,46,47,6,12,24,27,28,30,34	7390	46	7436	
4	Un grupo de personas, algunas con vestimenta tradicional, sube a un autobús rojo en un lugar al aire libre. El autobús tiene la matrícula 970-RN-5 y está estacionado cerca de edificios y árboles.	Sekimej tlakamej uan siuamej motlakentijtokej ika inaltepetlaken, motekouiaj ipan se karro chichiltik.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	16174,16167,2999,16186,10335,16150,16146,4104,1008,16178,8118,16162,7345,11111,1227,6927,9449,16188,13051,16148,13049,6793,4995,1493,1406,16185,10490,940,3126,4541,3188,11292,10345,7934,15797,10556,16194,11920,3487,14341	22,29,18,41,49,5,7,33,48,1,3,9,17,31,37,38,42,43,47,0,8,11,13,14,15,21,27,36,40,45,2,6,10,20,23,26,32,35,39,46,16,19,24,28,34,44,25,30,12	6767	40	6807	
5	Tres mujeres con vestimenta tradicional de bordados y faldas estampadas sostienen vasos de plástico mientras interactúan en un espacio público. Al fondo, otras personas con ropa casual observan la escena.	Yexpa siuamej ika inxochitlakentij kipixtokej vasos de plástico.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	16148,16147,16167,16178,16161,16190,16174,16182,16145,16149,16157,16168,16181,16177,16162,16183,16146,3525,16165,8321,16156,15855,16194,2121,5769,2714,7356,5485,5265,7719,477,1451,8535,9418,1350,1511,7326,11057,1979,16160	37,2,3,4,22,33,0,7,16,29,36,38,45,49,8,15,17,18,20,27,31,43,47,1,6,9,10,11,14,21,23,32,35,41,42,46,48,13,19,24,26,28,34,39,12,25,40,44,30	8149	25	8174	
6	Un campo de caña de azúcar con postes de madera y alambre de púas en primer plano, bajo un cielo azul con nubes dispersas, rodeado de vegetación tropical.	Se ohuatlajtoktli ika kuauhtejpantli uan tlauitsoli.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	16177,16160,16168,16174,16145,16166,16185,16182,16180,16158,16164,16191,16179,16176,16162,16193,16161,16172,16163,16184,16147,16190,16189,10628,16153,16192,16157,10546,16152,4953,13990,3968,16173,12113,5217,8596,12658,16194,11250,10420	15,32,23,29,37,0,18,21,31,35,2,7,8,13,17,27,40,46,47,48,49,4,5,10,14,16,19,20,22,26,28,33,34,36,38,39,42,43,45,1,3,9,11,24,41,44,12,25,30	6440	23	6463	
7	Una mano humana sostiene un pequeño lagarto sobre una superficie de concreto, con vegetación verde al fondo y la sombra de una persona proyectada en el suelo.	Se tlakatsin kikuijtok se topiltsi.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	16189,16179,16146,16191,16160,16171,16173,16181,16178,16183,16177,16169,16193,16167,9028,16192,16176,908,16182,16186,16187,16190,16159,16194,16165,16184,16155,16153,16180,16154,16157,16162,16161,13973,15930,16148,14801,16158,16172,16185	22,31,33,37,38,15,26,36,41,44,46,49,0,1,4,8,9,14,18,32,34,42,45,47,48,3,5,10,13,17,20,24,27,28,35,43,6,11,16,21,23,29,39,40,2,19,25,30,12	6619	13	6632	
8	La imagen muestra una flor de color púrpura con pétalos blancos y hojas verdes redondeadas, creciendo entre ramas secas y vegetación en un entorno natural.	Se pitsauaxochitl ika istakxochitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	16188,16159,16158,16191,16170,16169,16154,16179,16173,16155,16156,16171,16180,16190,16163,16189,16185,16164,16186,16194,16184,16192,16183,16176,16168,16146,9289,16157,16152,4187,16165,9137,13682,9132,2823,16177,832,16193,9088,10750	43,14,13,46,25,9,10,18,11,24,26,28,31,34,35,38,45,47,7,41,49,19,20,23,27,37,39,40,0,1,4,5,6,15,17,21,22,32,33,36,42,44,48,2,3,16,29,12,30	6432	14	6446	
9	La imagen muestra una rama de árbol con brotes verdes y flores amarillas en forma de racimos. El fondo está desenfocado, con ramas y luz natural.	Se kuauitl ika yankuik xiuitl uan kostik xochimej.	Seki uajxilxochitl tlen yikin kueponij.	16188,16153,16189,16159,16191,16162,16158,16190,3304,16021,16163,16194,16179,16160,16183,16169,16152,16180,16156,9704,13326,16186,16178,13809,6341,4187,16172,13159,16164,5120,4210,13682,16170,1387,1057,1512,6163,16168,11488,420	8,43,18,7,13,14,17,27,33,38,41,49,0,4,11,31,35,37,45,46,15,19,22,23,26,40,42,44,47,48,1,3,5,10,20,21,24,25,28,32,34,36,2,6,16,29,39,30,12	6352	21	6373	
