idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Una persona con cabello oscuro y un sombrero de paja adornado con flores observa un paisaje montañoso bajo un cielo azul claro. La persona lleva una chaqueta negra y está de espaldas a la cámara.	Se tlakatsintli ika tliltik tzontli uan se popotzontekomatl ika xochimej kitlachilia se tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	5640,2142,6749,687,11322,4270,2965,6623,1448,13679,13324,585,15930,1950,1963,7836,3034,8114,15797,3807,12410,9132,13990,4145,8118,5827,9766,4199,891,9234,10747,565,14395,13809,11835,12745,14770,7321,6918,940	1,49,3,20,32,35,48,6,9,15,17,19,22,23,31,41,42,45,2,12	7611	36	7647	
1	Una persona con sombrero de ala ancha y ropa negra está sentada en una roca, sosteniendo un bastón, en un entorno natural con vegetación densa y montañas al fondo. A su lado hay una mochila en el suelo.	Se tlakatl ika itlapilolkuaxombrero uan tliltik tlakemitl, motlali ipan se tetl, kipixtok se topil, inauak miak xiuitl uan tepemej.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	6623,9028,3223,2142,15930,2223,8114,10747,1406,12410,1950,13324,4145,7139,4270,9705,9766,14801,14395,10494,5640,14051,9132,6089,127,687,6114,5827,565,9234,3525,1690,10768,6914,14218,13990,1448,14627,800,5715	49,20,2,31,48,17,44,45,46,0,3,7,18,28,5,10,19,29,33,35	7958	53	8011	
2	Una persona vestida con una camisa blanca y pantalones claros está sentada en una silla de plástico blanco, mirando hacia un hombre que está de pie detrás de un atril de madera, leyendo de un papel. El entorno es una sala con paredes blancas y azules, con varias personas sentadas en sillas plásticas blancas observando al hombre que habla.	Se tlakatl motlakentok ika iztak kamisa uan pantalon, moseuijtok ipan se iztak plastik sía.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	1950,2142,5715,1606,9705,9028,3138,4250,14395,15930,7836,1406,8013,3003,9766,2782,3043,12410,3034,1432,5827,2344,11237,5954,7139,4270,9132,3223,15679,3525,127,2181,7550,12286,10494,4145,10335,1690,9170,5640	49,1,3,18,20,31,33,48,5,17,46,4,9,10,21,22,28,29,34,35	8003	32	8035	
3	"Dos hombres sonríen frente a la cámara; uno lleva una camisa blanca con bordados tradicionales y el otro viste una chaqueta negra con un pañuelo rosa al cuello. En el fondo, hay árboles, personas caminando y un letrero que dice ""ALL STAR""."	Ome tlakamej motzatzayanij. Se tlakentok ika xochitlakemitl uan okse ika tliliuik xaketl.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	12286,8342,12944,3525,9766,3807,15500,15930,2142,1406,8534,36,15380,12226,8013,13324,5827,13344,1432,2866,4212,4270,14770,4308,9853,8321,14051,4145,12078,8086,14801,7666,13260,1975,577,2419,6623,16139,12410,3643	2,49,1,10,0,5,20,33,37,38,48,4,9,14,17,22,35,36,41,42	7987	37	8024	
4	Un grupo de personas con vestimenta tradicional, incluyendo blusas bordadas y faldas, se reúne junto a un autobús rojo con la matrícula 970-RN-5. Algunas personas llevan mochilas y bolsas, mientras que otras interactúan cerca de la puerta abierta del autobús en un entorno urbano con edificios y árboles	Seki siuamej ika intlaken motlaliaj itlanpa se kalmimiloli.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	1008,15855,10300,1879,2142,1534,14051,477,6060,3034,594,466,9766,7356,2807,12113,11250,3843,6740,552,10768,15489,15266,13652,4648,11057,5715,8881,14058,13809,12658,11112,11525,1931,4270,9071,9449,12748,6927,6119	29,48,49,35,47,5,6,14,20,31,41,2,3,9,19,23,33,37,38,45	8130	24	8154	
5	Tres mujeres vestidas con trajes tradicionales con bordados coloridos sostienen tazas blancas, posiblemente de plástico, mientras conversan en un entorno urbano. Alrededor de ellas hay otras personas con ropa casual, y el suelo es de baldosas rojas.	Yey siuamej motlakentijtokej ika inaltepetlaken uan tlajtokej.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	15855,8321,7511,3525,5485,5265,6341,4800,9418,3313,11162,2142,2714,893,7851,14770,9506,2351,9032,15535,13159,15330,1950,15266,7719,1534,11130,5769,2616,13553,13331,3118,9477,6818,3566,8248,13697,9766,11057,12803	1,2,3,4,28,10,18,22,29,31,33,49,9,34,35,37,38,45,46,47	6663	26	6689	
6	Un campo de caña de azúcar se extiende bajo un cielo azul con algunas nubes. Una cerca de madera y alambre separa el terreno, y en el fondo se ven árboles y una palmera alta.	Se ohuatlajtooktli inauak se kuauhtlapantli. Ik uejka kajki kuajyo uan se palma.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	13990,1931,6623,4602,2223,8214,10153,3034,4953,10628,8114,15936,7807,15590,8523,2142,15093,4367,10587,5662,9234,7087,8596,10184,12658,1898,11488,6379,14395,12410,15469,3831,127,9132,14239,4232,6202,466,9028,12113	15,37,19,23,33,35,4,12,29,31,32,38,48,0,9,13,14,24,36,41	6673	33	6706	
7	Una persona viste una sudadera gris y sostiene una pequeña lagartija marrón en su mano derecha extendida. El entorno incluye una superficie de concreto, una sombra proyectada y vegetación verde en el fondo.	Se tlakatl ika itlaken gris kikuijtok se kuetzpalin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	908,9347,585,9010,11886,6749,13973,127,5381,15930,7139,12008,12286,4726,5121,10870,832,8214,9028,2958,7238,15626,3711,13189,5820,1406,6089,1448,15093,10184,12481,1804,2283,5031,6699,10009,15919,5526,5744,14218	1,28,49,20,31,44,2,18,33,34,37,46,48,9,10,13,14,19,32,35	5221	19	5240	
8	Una flor con pétalos blancos y un centro morado crece entre hojas verdes y tallos marrones. Alrededor hay restos de flores moradas y hojas secas.	Se xochitl istak uan nextik.	Seki Yolitisxochitl uan se ajyoxiuitl.	8840,9137,4187,12904,2823,7890,832,15752,10470,8891,435,420,2506,10586,2351,12258,757,1193,1604,2161,2943,3263,7549,9037,14682,13649,1568,1069,7433,7613,2616,13053,1467,15033,846,13809,3764,11044,13058,15561	10,24,46,14,13,25,35,39,9,11,17,28,33,34,45,0,1,5,18,20	4088	11	4099	
9	La imagen muestra una planta con flores amarillas y brotes verdes colgando de una rama gruesa. En el fondo, se observa un entorno borroso con estructuras de piedra y ramas de árboles.	Se xiuitl ika xochimej kostik uan yankuik xiuitl.	Seki uajxilxochitl tlen yikin kueponij.	891,16021,757,15698,13809,1690,3749,5831,7421,8371,2142,9766,5827,13159,5120,3304,3034,1057,11322,13682,6310,10768,14690,2283,13786,11488,6163,1512,14991,565,2647,14395,15535,420,9968,10747,4270,73,6769,13053	35,33,45,14,18,10,13,19,23,31,38,46,48,28,34,43,47,49,21,27	5708	21	5729	
