id	prediction	reference	chrfpp_sentence
0	Se tlakatsintli ika tliltik tzontli uan se popotzontekomatl ika xochimej kitlachilia se tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	23.8004
1	Se tlakatl ika itlapilolkuaxombrero uan tliltik tlakemitl, motlali ipan se tetl, kipixtok se topil, inauak miak xiuitl uan tepemej.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	26.6174
2	Se tlakatl motlakentok ika iztak kamisa uan pantalon, moseuijtok ipan se iztak plastik sía.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	23.5608
3	Ome tlakamej motzatzayanij. Se tlakentok ika xochitlakemitl uan okse ika tliliuik xaketl.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	25.7013
4	Seki siuamej ika intlaken motlaliaj itlanpa se kalmimiloli.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	17.7180
5	Yey siuamej motlakentijtokej ika inaltepetlaken uan tlajtokej.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	30.8945
6	Se ohuatlajtooktli inauak se kuauhtlapantli. Ik uejka kajki kuajyo uan se palma.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	19.0240
7	Se tlakatl ika itlaken gris kikuijtok se kuetzpalin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	16.0409
8	Se xochitl istak uan nextik.	Seki Yolitisxochitl uan se ajyoxiuitl.	24.1506
9	Se xiuitl ika xochimej kostik uan yankuik xiuitl.	Seki uajxilxochitl tlen yikin kueponij.	20.4589
10	Se pitsauaxochitl non yopejki pitsuaki.	Se gladiolajxochitl non achtsin youakik.	32.9297
11	"Se xochitl tlen kiluiaj ""senpoalxochitl"" ika miak ixochiyo."	Se kualtsin senpoalxochitl non melajka xochitl.	39.9353
12	Se ojtli ika xochitl inauak se tlatsakuil.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	12.4669
13	Se kiniaxochitl non yopitsuakik.	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	35.0917
14	Se kuaxiloxochitl ika xoxoktik uan kostik.	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	24.8228
15	Se popokatepetl ika se tlaxochimil.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	15.0668
16	Chicuasen tlaca, eyi tlakamej uan eyi siuamej, kintlachichiuaj tlakuali ipan se kuali kaltsintli.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	25.8544
17	Se siuatsintli ika isiuatlaken xochijyo kitejteki tlakuali ipan se kuauhtetl.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	31.7355
18	Miakej koamej ika kuanextli uan tliltik tlen motlakuilojtokej ipan kuajyo.	Se xonokuauitl ika xonokuilmej.	20.5727
19	Se tepeyo ika kuajyo uan tlamixtentok.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	19.6529
20	Se tlakatl nenemi ipan se ojtli. Kiyaualojtok kuajyo.	Se siuatsintli nemi ipan se teyo ojtli kanin kuajyo.	41.8546
21	Se istak kuauhtepantli tlen uejka moteca ipan se ojtli tlen kuajyo. Ayauhtli kiyaualojtok.	Se tepetsintli kiyaualojtok kuautitlamitl uan semi tlamixtentok.	35.0921
22	Ome siuamej motlapouiaj. Se kikuik se tlakotl ika se chichiltik xikali.	Itech se mantajkaltsintli kintetliokolilia tlakuali akinmej uejka uitsej. Nochtin motlakentiaj ika inmialtepetsotsol.	18.3738
23	Se ixtlauak ika kalmej uan kuajyo.	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok tepeyo uan mixtli.	29.9614
24	Se kualtsin senpoalxochitl non melajka xochitl.	Se kostik senpoalxochitl.	51.7834
25	"Se xochitl tlen kiluiaj ""pitsauaxochitl"" ika istak estambres."	Se matlalxochitl kualtsin uan se non yopitsuakik.	23.0550
26	Se ueyatsintli ika temej tlen ipan tlapajpakaj.	Se ameyali uetsi ipan temej ijtik tepetl.	28.9303
27	Se talkamoj tlen iyollo itech se oloch talkamoj.	"Seki tlalkamojtli uan se motasneki ken se ""yolotl""."	24.7584
28	Se atoyatl tlen patlani intzalan tetl.	Se ueyatsintli ika temej tlen ipan tlapajpakaj.	21.2686
