id	prediction	reference	chrfpp_sentence
0	Satë̀ mó̱tchërki wö̀a tsikirîrî e’ dör na̱mù̱ wö́kir diö́köl, sabák wö̀a si̱ê̱.	Mè̱wö bitsì̱, i ki̱ka íyi diö́köl yö’tso wè̱s dù diö́köl ês.	11.0370
1	Alà tso' kóq ki̱. Kóq dör tsikirîrî, dalì ẽnã sarûrû. Alà i wö́su̱k dalôlô wa.	Alà âr sku’ a̱. ês ie’pa rö alà tsè̱ke. Sku’ wö̀a krôrô.	9.9618
2	Arros, átwö, cha̱mù̱, yë̂âr e' dör dalôlô plato ki̱.	Chkö̀ a̱ àrros tso', átu cha̱mù̱tak e̱na̱ krò tak. Chkö̀ ña̱' bua'ë.	10.4437
3	Wéqm èköl tso' kalóq tãîx wö́k. Ie' tso' ù sulë pámi̱k.	Akë́kë tso' cha̱mú̱li ajkáchök. Ie' wa̱ cha̱mù̱ tso' ie' ù a̱. Ie' apàio si̱ê̱	17.4924
4	Wéqm èköl di' ajkö̀ ki̱ tkë'r. Ie' tsîx ã sku' tso' âr kĩ. Di' ajkö̀ wë́rke ká̱ ta̱î̱ë.	Wë́m tso’ shkö́tchö di’ a̱. Ie’ wa̱ dalì dàmi̱. Ie’ wak dör êköl.	10.3160
5	Ák wö́kir ie'pa dör ká̱bata wö́kir, ie'pa dör na̱mù̱ wö́kir ie.	Kula' dakilîlî yö'tso i ku̱a̱ki ë̀. Êrë idir ák. Ák wa i yö̀ne̱.	9.6405
6	Pë’ dàmi̱ ta̱î̱ë ù sulë wóqrkĩ. Ie’pa ië̂tër datsi’ wö́kir. Chìchi tso’ ie’pa kalö̀io.	Bulú kalépa, ie’pa wakpa sè̱ne̱ ká̱ ta̱î̱ë. Ie’pa ië́te̱n dabòp ki̱ ské̱l. Ie’pa dapàna̱ ù sulë pámi̱k.	15.6387
7	Tchë́l ni̱mà̱ na̱mé̱pa tso' di' sìna̱ e' a̱ ni̱mà̱ klö̀u̱k. Ie'pa dör sulë̀ e̱na̱ shka̱me̱' wa ni̱mà̱ klö̀wè̱ke.	Kayö́, tsawì, kuë̀ e’ tso’ íyiwak wak wa. Ká̱bata a̱ ka̱mî̱ë íyiwak wak sé̱rke.	12.4684
8	Bóql ie’pa tso’ tkabèq tãîx wóqrkĩ. Ù sulë pámi̱k, ká̱bata a̱.	Ká̱pake dör iche tö íes tchabë̀köl tsikìne̱. Bö́l kàl daléwa pë’ tso’ i wéblök.	10.2734
9	Ù sulë pámi̱k ká̱jkê̱ë. Ie' tsìxkî dör kàl tak wa.	Ù tsà̱bita a̱ ta̱ idir yirîrî. E' yawèke ùkö wa, tsî̱ne̱t a̱ñì̱ ó̱mi̱k.	9.2562
10	Pë’ dàmi̱ ká̱ wë́rke ká̱mî̱ë. Ù wö̀a tsipátsipa, ká̱ wö̀a tsipátsipa. Bö́l ie’ tso’ dalì ö́k ká̱ wë́rke.	Ù wë́rke yö'tso pàna̱kuö wa. I ujkö a̱ i wa̱ cha̱mù̱ tso'.	11.1578
11	Wë́m tso' íxs ki̱. Ie' wa̱ dalì wö̀a sarûrû e̱na̱ kalòqio mã'tk. Ie' tso' kàl wö̀a sarûrû e̱na̱ dalôlô. Ie' tsìx ã kabe' wö́su̱k.	Awá tso’ ulù tâu̱k. Ês ie’ rö se’ buâwè̱ke. Ie’ âr i ka̱né̱u̱k kipö̀ a̱. I pàio sarûrû kalö̀io butûtû.	13.5754
12	Tsiru' wö dör máxshmãsh dalóshdalosh kàl ulà mĩk.	Tsiru’ tso’ klóklo, i wö̀a má̱t, i ulà mika i wö́rke ta̱î̱ë.	8.5148
13	Tàyë tsiru' wö́k bö́l ki̱. Ie' dör i wèke wíswîs ukö̀ki i tarèke të́shtë̂s. Bua' tsiru' ùna̱ ák ki̱ e' ya'.	Tàyë tso’ kö̀chi chkà kukö́k ù̱ ki̱. Bö’ wa ie’ tso’ ialö́k.	12.8143
14	Tsiru' wö̀ tso' i wö̀ a̱ má̱t. I tso' íyi tâwo̱ wè̱s se' yö́rke ì alê ujtéköl ie ése. Tsiru' rö ó.	Tsiru' tso' íyi ulìta̱ne̱ ka̱né̱wo̱. Irir yè satë̀ yawó e̱na̱ wö́su̱k irir se' kapéblo.	20.8115
15	Wö́su̱k wö́k dör má̱t e̱na̱ diké tã. Ie'pa tso' kàl tak ki̱.	Kacha' wö̀ tso' i wö̀ a̱ má̱t. I tso' íyi tâwo̱ wè̱s se' yö́rke ì alê ujtéköl ie ése. Kacha' rö ó.	9.3287
16	Dù dalôlô i kirèq ikuòq mâxtk tkër kàl ulà kĩ. Ù dikìx ã'mĩk.	Dù tchë́rka kàl ulà ki̱. Dù kie a̱'s i wö̀a dör dalôlô e̱na̱ i tsì̱wö dör má̱t. A̱'s dör ó.	7.1285
17	Ká̱jkê̱ë ká̱ wë́rke. Ká̱jkê̱ë ká̱ wë́rke. Ká̱jkê̱ë ká̱ wë́rke.	Datsi’ skuo tkër ka̱ñí̱ka, i pámi̱k cha̱mù̱ tso’.	5.6776
18	Wë́rke ẽnã aláköl ië́te̱n ù wóqrkĩ. Ie’pa datsi’ dör bua’ë. Ie’pa ië́te̱n dìba a̱.	Akë́kë yë̂âr i mà̱so ta̱. Ie’pa ië̂tër újkö̀ a̱. Tàyë datsi’ bitsî̱, wë́m pàio surûrû ulà bitsî̱.	16.7221
