id	prediction	reference	chrfpp_sentence
0	Mè̱wö mó̱tchërki újkö mi̱k. Ie' wö̀a má̱t, i ulà mika i wö́rke ta̱î̱ë.	Mè̱wö bitsì̱, i ki̱ka íyi diö́köl yö’tso wè̱s dù diö́köl ês.	11.1315
1	Pë' tso' kàl wö̀a sarûrû, i wö̀a dör tsikirîrî e̱na̱ tsipátsipa. Ie' tso' ù wö̀a a̱.	Alà âr sku’ a̱. ês ie’pa rö alà tsè̱ke. Sku’ wö̀a krôrô.	12.3294
2	Chkòq dalôlô tso' chkòq kĩ. I tso' átu, chkòq, kalóqm, ẽnã chkòq.	Chkö̀ a̱ àrros tso', átu cha̱mù̱tak e̱na̱ krò tak. Chkö̀ ña̱' bua'ë.	10.9711
3	Pë' tso' cha̱mù̱ wö́k. Ie' tso' cha̱mù̱ wö́k. Ie' tso' cha̱mù̱ wö́k.	Akë́kë tso' cha̱mú̱li ajkáchök. Ie' wa̱ cha̱mù̱ tso' ie' ù a̱. Ie' apàio si̱ê̱	29.8624
4	Pë' tso' di' a̱, ie' kalö̀io di' a̱. Ie' sku' tso' ie' tsĩ kĩ. Ie' apàio wö̀a sarûrû.	Wë́m tso’ shkö́tchö di’ a̱. Ie’ wa̱ dalì dàmi̱. Ie’ wak dör êköl.	14.7768
5	Dö́köl	Kula' dakilîlî yö'tso i ku̱a̱ki ë̀. Êrë idir ák. Ák wa i yö̀ne̱.	1.1488
6	Ie'pa bák se' shkë́ki ie, Wö́su̱k ie'pa e̱' chö tö irir ká̱ bulu' e̱na̱ ie'pa wö̀ki kò̱s íyi tso' e' wë́rke . Ká̱ i̱â̱i̱â̱ ie'pa bák sè̱nu̱k ká̱ i' ki̱.	Bulú kalépa, ie’pa wakpa sè̱ne̱ ká̱ ta̱î̱ë. Ie’pa ië́te̱n dabòp ki̱ ské̱l. Ie’pa dapàna̱ ù sulë pámi̱k.	13.8574
7	Bulú kalépa, ie’pa wakpa sè̱ne̱ ká̱ ta̱î̱ë. Ie’pa ië́te̱n dabòp ki̱ ské̱l. Ie’pa dapàna̱ ù sulë pámi̱k.	Kayö́, tsawì, kuë̀ e’ tso’ íyiwak wak wa. Ká̱bata a̱ ka̱mî̱ë íyiwak wak sé̱rke.	11.7400
8	Pë' tkabèq wa ie' wö̀a tsikìrîrî, ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsikìrîrî. Ie' wö̀a tsik	Ká̱pake dör iche tö íes tchabë̀köl tsikìne̱. Bö́l kàl daléwa pë’ tso’ i wéblök.	8.0642
9	Ù sulë batà a̱ mi̱k ka̱m i pà bánu̱a̱. Ie' ujkö a̱ kàl tkë́rke.	Ù tsà̱bita a̱ ta̱ idir yirîrî. E' yawèke ùkö wa, tsî̱ne̱t a̱ñì̱ ó̱mi̱k.	10.8780
10	Pë' dàmi̱ ta̱î̱ë ù sulë a̱. Ie'pa ië́te̱n dabòp ki̱ ské̱l. Ie'pa dapàna̱ ù sulë pámi̱k.	Ù wë́rke yö'tso pàna̱kuö wa. I ujkö a̱ i wa̱ cha̱mù̱ tso'.	11.1840
11	Wéqm tso' ák ki̱ tkër. Ie' tso' kàl bitsî̱ sarûrû dalôlô wö̀a yawèke. Ie' pámi̱k kàl wö̀a bóqlka.	Awá tso’ ulù tâu̱k. Ês ie’ rö se’ buâwè̱ke. Ie’ âr i ka̱né̱u̱k kipö̀ a̱. I pàio sarûrû kalö̀io butûtû.	11.2021
12	Tsiru' wö̀ dör dalóshdalosh kàl ulà kĩ dakéxjkuö tso'.	Tsiru’ tso’ klóklo, i wö̀a má̱t, i ulà mika i wö́rke ta̱î̱ë.	10.0258
13	Tàyë tso' tsiru' wö́k. Ie' tso' tsiru' wö́k i wèke wíswîs ukö̀ki i tarèke të́shtë̂s. Bua' tsiru' ùna̱ ák ki̱ e' ya'.	Tàyë tso’ kö̀chi chkà kukö́k ù̱ ki̱. Bö’ wa ie’ tso’ ialö́k.	12.6674
14	Akõ' kàl ulà bóqltë tso'. E'töm i ki̱ka íyi wö́kir tso'. Ie'pa tkër datsi' kàlkö sûx tsikirîrî e̱na̱ wö́su̱k wa.	Tsiru' tso' íyi ulìta̱ne̱ ka̱né̱wo̱. Irir yè satë̀ yawó e̱na̱ wö́su̱k irir se' kapéblo.	18.0982
15	Kàlwö bòqtë dör íyi mâxtk e̱na̱ diké tã. Ie' wö́k dör dalôlô. Ie' wö́k dör kàl ki̱.	Kacha' wö̀ tso' i wö̀ a̱ má̱t. I tso' íyi tâwo̱ wè̱s se' yö́rke ì alê ujtéköl ie ése. Kacha' rö ó.	8.5982
16	Dù dalôlô tkë'r kàl ulà kĩ. Ie' wã i ulàkicha dör mã'tk. Kàl wë́rke ta̱î̱.	Dù tchë́rka kàl ulà ki̱. Dù kie a̱'s i wö̀a dör dalôlô e̱na̱ i tsì̱wö dör má̱t. A̱'s dör ó.	10.5663
17	Ù sulë pámi̱k ta̱î̱ ká̱ wë́rke tsipátsipa, wö́su̱k ká̱ í̱te̱ idir.	Datsi’ skuo tkër ka̱ñí̱ka, i pámi̱k cha̱mù̱ tso’.	15.7814
18	Wéqm ẽnã aláköl dur ù wóqrkĩ. Wéqm apàio sarûrû ẽnã kalòqjkuö. Aláköl datsi' bitsîx ẽnã kalòqjkuö.	Akë́kë yë̂âr i mà̱so ta̱. Ie’pa ië̂tër újkö̀ a̱. Tàyë datsi’ bitsî̱, wë́m pàio surûrû ulà bitsî̱.	9.5563
19	Wë́m tso’ ka̱nò̱ wö́k. Ie’ wa̱ alà bö́l e’ ta̱. Ka̱nò̱ wö̀a tsipátsipa, âr di’ ajkö̀ ki̱.	Ma̱ñá̱l ka̱nò̱ ki̱ pë’ tso’ shkö́tchö. Ka̱nò̱ wë́rke bö̀töm. Ka̱mî̱ ká̱bata wë́rke.	16.9088
20	Tàyë tso’ ák wa̱ íyi chkà kukö́k. Ie’ tso’ ák ki̱ tkë́r.	Tàyë tso' ák ki̱ tsiru' wö́k. Ie' dör i wèke wíswîs ukö̀ki i tarèke të́shtë̂s. Bua' tsiru' ùna̱ ák ki̱ e' ya'.	9.5001
21	Wéqpa tkéqlë tso' di' ajkö a̱. Mãñáxlë ie'pa tso' íes tchabë̀köl tsikìne̱.	Tchë́l ni̱mà̱ na̱mé̱pa tso' di' sìna̱ e' a̱ ni̱mà̱ klö̀u̱k. Ie'pa dör sulë̀ e̱na̱ shka̱me̱' wa ni̱mà̱ klö̀wè̱ke.	16.6945
22	Suretka ká̱jkê̱ ù wö̀a tsipátsipa, i wö̀a sarûrû. I ká̱jkê̱ kàl wö̀a.	I' dör e̱' wö́blâwo̱ wé. Ká̱ kie Tsulë'tchö e̱' rö e' a̱ ta̱î̱ alátsitsi tso' e̱' wö́blâu̱k yë́jkuö shtö́k e̱na̱ i̱à̱ritsök. I ta'tso tsipátsipa e̱na̱ i yö'tso ákchka wa.	7.4840
23	Ù sulë pámi̱k ta̱î̱ ká̱ wë́rke tsipátsipa, wö́su̱k ká̱ í̱te̱ idir.	Ká̱ wë́rke ká̱jkê̱ë. Di' ajkö́mi̱k ká̱ wë́rke. Ù rö yö'tso ùkö wa. Di' wë̀na̱ í̱skî̱ë dalö̂lö̂ë.	8.1341
24	Ù sulë pámi̱k ta̱î̱ ká̱ wë́rke tsipátsipa, wö́su̱k ká̱ í̱te̱ idir.	Ù sulë batà a̱ mi̱k ka̱m i pà bánu̱a̱.E' ta̱ i yawèke e̱nà̱ ë.	11.9352
25	Ka̱nò̱ dalôlô tso’ di’ a̱. Ie’pa tso’ shkö́tchö. Akë́kë tso’ ka̱nò̱ wö́rke. Tàyë tso’ dalì wö̀a.	Pë’ dàmi̱ ta̱î̱ë ka̱nò̱ ki̱, ie’pa mi̱ketchö di’ ajkö a̱wí̱she̱t.	14.5935
26	Pë' bòqtöm tso' ka̱nò̱ tsipátsipa ki̱. Ie'pa tso' di' ajkö́mi̱k.	Bö́l ie’pa tso’ di’ a̱. Dalì iö́k i tso’. Ka̱nò̱ wö̀a tsipátsipa, âr di’ ajkö̀ ki̱.	16.4050
27	Ñãlàx tso' káx ajkêx kĩ. Kàl tsée e' rö i̱â̱chipa a̱ sè̱no̱.	Ká̱ wë̀na̱ ká̱mî̱ë, ká̱ wakdël. Mò̱ wë̀na̱ sarûrû ká̱jke̱.	8.3569
28	Datsi’ tak wö̀a sarûrû, i kí̱ka íyi diö́köl wanyö’tso wè̱s: tkabë̀, sàl, ók, na̱mù̱ e̱na̱ tsawì.	Satë̀ mó̱tchërki wö̀a tsikirîrî e’ dör na̱mù̱ wö́kir diö́köl, sabák wö̀a si̱ê̱.	12.4181
29	Mè̱wö bitsì̱, i ki̱ka íyi diö́köl yö'tso wè̱s dù diö́köl ês.	Mè̱wö mó̱tchërki újkö mi̱k. Mè̱ wanyö’tso ká̱kö wa.	8.5315
30	Ká̱ wë̀na̱ ká̱mî̱ë, ká̱ wakdël. Ká̱ wë̀na̱ sarûrû ká̱jke̱.	Ka̱ñí̱ka ká̱ rö ká̱ sa̱ne̱ ë̀. Ta̱î̱ kàlkö ulìta̱ne̱ tso’. Wö́su̱k i̱a̱ kapö́li tso’.	7.4737
31	Tàyë datsi' wö̀a tsipátsipa, i pàio sarûrû. Ie' tso' kàl dikî̱a̱. Ie' tso' i wö̀a wö́su̱k.	Tàyë tso’ ká̱ kí̱sa̱u̱k ká̱ áie a̱. Mâ̱mâ̱rkua wö̀a má̱t tso’ ie’ pámi̱k.	11.3912
32	Tàyë tso’ alà bóqlte ta̱. Ie’ dör pàio sarûrû ulà. Alà èköl dör pàio sarûrû ulà.	Tàyë yë̂âr i alár bö́l e’ ta̱. Ie’pa ië̂te̱r dìba a̱. Alà tsîr wa̱ êtöm kàlka átse̱r e̱’ ulà a̱.	12.6201
33	Pë’ tso’ chkà kukö́k ù̱ ki̱. Ie’ wa̱ chkà tso’ ie’ ù a̱. Ie’ apàio si̱ê̱.	Tsiru’ wö sí, tso’ kukè ù̱ ki. Tcha̱’tak a̱ tsiru’ wö tchë́rki.	15.3445
34	Chkö̀ shkíshkî, i yawèke shkíshkî. I wö̀a krôrô.	Ajkö́ yö̀na̱ shtö́kicha wa. E’ tso’ dalì é̱jkê̱ ése tsó̱ ie. I yö’tso burrîrî, i tso’ dalì tsó̱ ie.	8.5167
35	Ù sulë batà a̱ mi̱k ka̱m i pà bánu̱a̱. Ie’ pámi̱k ká̱mî̱ë.	Bribriwak ù sulë, i yawèke shkíshkî ká̱jkê̱. E' rö i̱â̱chipa a̱ sè̱no̱.	11.1105
36	Dö́köl.	Kula' wö́r dör na̱mù̱ wö́kir ie. I yö'tso ák wa. E' rö se' bakmi̱ e' ka̱nè̱.	1.7733
37	Di' ajkö̀ ki̱ cha̱mù̱ tso' wö̀a. Pë' wéqm tso' ka̱nò̱ wö̀a tsipátsipa. Ie' wa̱ dalì dàmi̱.	Se' tso' ka̱nò̱ ki̱ ka̱nè̱blök. Ie' tso' dalì ö́k ka̱nò̱ ki̱ di' a̱. Ka̱nò̱ wak si̱ê̱ Tsalá tso' talë̂lë̂. Ië́tso tsiní̱. Shá̱bös tchë'te̱r kalö̀ ë.Tsalá kuátchërke ñè̱ e̱na̱ wàta̱we̱.	14.9797
38	Pë'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́rke ie'pa wö́r	Mi̱k ák démi̱ ta̱ ie’pa dör bùl iklèke. E’ a̱ sulìta̱ne̱ mi̱ke bùl iklök.	4.7481
39	Ù mãñáxl súxrke. Ká̱jkê̱ë, ká̱ wë́rke.	Ma̱ñá̱lwe ù wë́rke kàl dikî̱a̱. Wö́su̱k mò̱ wë́rke ká̱jke̱ sarûrû.	8.4261
40	Costa Rica káx wö̀a sarûrû, i kí̱ka Bribri káx wö̀a. I dikìx a̱ íyi diö́köl wanyö’tso wè̱s.	Ditsö̀ ká̱ tchö̀ke e' diö́köl. I wër tsîr.	12.7835
41	Ùx tabèchaka tso' bóqwo ù̱ ki̱. Ie' ta̱ cha̱mù̱ kòq ẽnã kàl ták tso'. Shkãláx tso' ùx ã.	Chkö̀ alírke ù̱ a̱. Bö' ñá̱rke i dikî̱a̱. I pàbatchër sík wa. Bö' tak wa i alêke.	11.4053
42	Pë' tso' shkö́tchö ká̱bata a̱. Ie' tsã kĩ wö́su̱k tso'.	Kulë’ të́rka̱ kàltak ki̱. Wö́su̱k êk ák të́rka̱ të́shtë̂sh. Kàl wë́rke ta̱î̱.	9.2836
43	Chkö̀ a̱ chkòq tso' kàl wö́köl a̱. I ki̱ka dakarò, pìmìèntö má̱t e̱na̱ ò̱köl.	Krò chkà alìna̱ kàlwö ta̱. Ês ta̱ i kata' bua'ë. I wà dë̀na̱ shkó̱tche a̱.	15.1450
44	Satë̀ mó̱tchërki wö̀a tsikirîrî e’ dör na̱mù̱ wö́kir diö́köl, sabák wö̀a si̱ê̱.	Satë i ku̱a̱ki yö'tso ulù klö wa.I ki̱ idiö́köl târule è̱ë E̱na̱ mè̱ wa.	10.7128
45	Tapìs wö́su̱k, i ki̱ka íyi diö́köl yö’tso wè̱s dù diö́köl ês.	Datsi’ tak wö̀a sarûrû, i kí̱ka íyi diö́köl wanyö’tso wè̱s: tkabë̀, sàl, ók, na̱mù̱ e̱na̱ tsawì.	12.3204
46	Tchë́l ni̱mà̱ na̱mé̱pa tso' di' sìna̱ e' a̱ ni̱mà̱ klö̀u̱k. Ie'pa dör sulë̀ e̱na̱ shka̱me̱' wa ni̱mà̱ klö̀wè̱ke.	Ie'pa bák se' shkë́ki ie, Wö́su̱k ie'pa e̱' chö tö irir ká̱ bulu' e̱na̱ ie'pa wö̀ki kò̱s íyi tso' e' wë́rke . Ká̱ i̱â̱i̱â̱ ie'pa bák sè̱nu̱k ká̱ i' ki̱.	16.2530
47	Pë' tso' bùl iklèke, ie'pa wö̀a sarûrû. Ie'pa tso' ká̱ wë́rke tsipátsipa.	Ta̱î̱ pë’ dapàna̱ ká̱ kibí a̱ íyi ujtéchök. Ie’pa a̱ñì̱ wö̀ie i ká̱ ujtéchök.	8.1511
48	Ù sulë batà a̱ mi̱k ka̱m i pà bánu̱a̱. E' ta̱ i yawèke e̱nà̱ ë.	Ù sulë pámi̱k ta̱î̱ ká̱ wë́rke tsipátsipa, wö́su̱k ká̱ í̱te̱ idir.	13.2774
49	Pë’ tso’ ù wóqrkĩ. Ie’ wö̀a pa̱io sarûrû, ulà dalôlô. Ù sulë pámi̱k ta̱î̱.	Ù wë́rke bë̂rie élwe. Êköl wë́m yë̂âr ù wö́su̱k. Ie’ kalö̀io dalôlô, pàio sarûrû.	13.5241
