id	prediction	reference	chrfpp_sentence
0	Se siuatsin ika ixonbelo xochikoskatl tlanauak tepetl tlachia.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	25.5399
1	Se tlakatsin ika itlaken tlayouak uan isonbelo moketski ipan se tetl kanin tepetik, ijtik kuauitlamej.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	26.2399
2	Se tlatkiistak tlacatl tlapouijtok ipan se kuautlaixpankali ijtik se ueyi kaltlamachtiloyan, uan miakej maseualmej tlakakistokej.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	25.1799
3	Ome tlakamej motlaliaj ma kinmaixkopinili, se ika ikoton istak tlaxochitlakuioli uan okse ika se payotl xochijyo.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	24.2379
4	Sekimej tlakamej ika inmaltepetlaken tlejkojtokej itech se kalmimiloli chichiltik.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	25.9372
5	Eyi siuamej ika inmialtepetsotsol kipixtokej imbasojuan uan mononotsaj, ik uejka oksekimej maseualmej kinchixtokej.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	26.1523
6	Se ouamilli kiyaualojtok kuaujtlatzacuillotl uan mixtentok.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	27.0240
7	Se ima kitzkihtok se kuetspaltsin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	16.5102
8	Se xochitl kamojtik tlen kipia istak ixiujyo non yotlaxochixtok ipan se xiuitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	30.6891
9	Se kuauxiuitl ika xochikostik.	Seki uajxilxochitl tlen yikin kueponij.	19.0184
10	Se chichilistakxochitl kualtsin ika ixiujo xoxokuik tlen amo kuali nesi.	Se gladiolajxochitl non achtsin youakik.	23.7163
11	Se kostik senpoalxochitl itlan se tepantli.	Se kualtsin senpoalxochitl non melajka xochitl.	35.8322
12	Se ojtli tlatlajko kuajyo uan semi ayauitok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	17.2201
13	Se kuaxiloxochitl kostik uan xoxoktik ixijyo.	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	23.3914
14	Se matlalxochitl tlen yolotl kostik.	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	18.3510
15	Se xoxoktik ixtlauak ika kuajyo, uan ik uejka tepeyo ika isepayayo iyak, tsikitsin mixtli kajki.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	32.1407
16	Nahui tlakaj tlatlakualchijchiuaj itech se kaltsintli. Ome siuamej kitetejkej xouikilitl uan se okichtli kipixtok se apastli.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	26.6568
17	Se siuatsin ika iuanpil xochiyo tekiti nakatl ipan se kuautlapali, inauak onka se kaxitl ika istak arroz uan se kaxitl xoxoktik.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	32.7952
18	Sekimej pipiyolpanali ipan se kuajyo.	Se xonokuauitl ika xonokuilmej.	14.6291
19	Tepemej kuajtok uan tlamixtentok uan itlanpa panotokej seki tekonemej.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	23.7174
20	Se tlakatl nenemi ijtik kuautla ika se mekapali uan tliliuik itlaken.	Se siuatsintli nemi ipan se teyo ojtli kanin kuajyo.	22.2654
21	Se tlapechtli kimantok se tepetl non kiyaualojtok xoxokxiuitl, uan ik uejka ayauitl.	Se tepetsintli kiyaualojtok kuautitlamitl uan semi tlamixtentok.	35.9856
22	Sekimej maseualmej tlachixtokej kanin kinemakaj tlaxochijkuiloli uan seyok tlamantli.	Itech se mantajkaltsintli kintetliokolilia tlakuali akinmej uejka uitsej. Nochtin motlakentiaj ika inmialtepetsotsol.	17.0112
23	Ik uejka nesi se altepetsintli ika milajyo, tlamixtentok uan tlakemanian nesi tonatij.	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok tepeyo uan mixtli.	27.7506
24	Se kosxochitl non uejkapantik ixochiayo uan iyolo kostik.	Se kostik senpoalxochitl.	37.8803
