id	prediction	reference	chrfpp_sentence
0	Se siuatsintli ika isokitsonbelo xochikoskatl tlachia kanin tepeyo uan tlanesi.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	28.2797
1	Se tlakatsin ika itopil uan ika itlaken yayauik motlalia ipan se temitl itech se tepetl.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	23.0878
2	Se tlakatl ika itlaken istak tetlapouia, uan oksekimej kitlakakiliaj motlalitokej ipan silla de plastik.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	28.6260
3	Ome tlakamej mokuiltokej; se ika kamixa uan okse ika payo tlapalyo.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	22.1037
4		Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	0.0000
5	Eyimej siuamej non tlakentokej ika inmialtepetlaken motlapouiaj uan kitlani apastli.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	37.6671
6	Se ouamili tlen kiyaualojtok se kuaujtentsontli ika uitstli.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	26.9640
7	Se ima tlakatl kitzitzkia se kuetspal	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	15.1534
8	Se kualtsin xochitl non nesi yikinyankuixtok.	Seki Yolitisxochitl uan se ajyoxiuitl.	23.2524
9	Se kuauimajtli ika yankuik xiuitl uan kostik xochimej.	Seki uajxilxochitl tlen yikin kueponij.	21.3163
10	Se xochitl chichilistak uan ikualtsin xiuyo.	Se gladiolajxochitl non achtsin youakik.	25.5369
11	Se kostik senpoalxochitl inauak se tetepankali.	Se kualtsin senpoalxochitl non melajka xochitl.	34.8894
12	Se ojtli kostik iko tlapitsali uan semi tlamixtentok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	28.5279
13	Se kuaxiloxochitl intsalan ixixiyo uan se tlapasoli pan tlali.	Se kiniaxiuitl non amo tikkuaj tlaxochixtok.	22.0620
14	Se ueyixochitl kamojtik tlen pilkatok.	Se kiniaxochitl ika se tokatl ipan. Nin kiniatl amo tikkuaj.	20.3325
15	Se ixtlauak xoxoktik inauak kuajyo uan ik uejka tepeyo ika sepantli, uan sekitsin mixtli.	Se ixtlauaktsintli ika kuajyo uan se kaltsintli. Uejka kajki se tiltepetl itoka Poyaujtekatl.	34.4617
16	Nahui tlakaj tlachijchiuaj tlakuali itech se tlapechtli.	Tlakamej uan siuamej mopaleuiaj tlakualchiuaj. Se kitejteki xonakatl, okse kichiua tsopelikatl, okse kitejteki tsilanko, uan okome kichiua chilmoli.	14.0594
17	Se siuatsintli ika iuipil xochimoyauak tlateki nakatl ipan se kuautlapali.	Ijtik se kaltsintli, se ichpoka non tlakentok ika xochitlakemitl kitejteki nakatl ipan se tlapechtli.	31.9631
18	Se kuauitlalixtli non kiteki se kuajyotl uan nechtsakuali.	Se xonokuauitl ika xonokuilmej.	24.2252
19	Se kuautitlan kanin miakej tepeyo uan tlamixtentok.	Ueyi tepeyo tlen amo niman tlami, nesi ik nouian kajki. Tlamixtentok uan san ik toyekma, ajkopa, tlachipauak.	23.0562
20	Se tlakatl nenemi ipan se ojtli ijtik se kuautitlan ika uejueyij xiuitl.	Se siuatsintli nemi ipan se teyo ojtli kanin kuajyo.	34.1025
21	Se kuauchinamitl ik itlak tepetl kanin xoxoktik. Miyak ayau	Se tepetsintli kiyaualojtok kuautitlamitl uan semi tlamixtentok.	24.3846
22	Miakej tlakamej tlachixtokej kanin tlanamakaj. Se siuatl kipixok se globo chichiltik.	Itech se mantajkaltsintli kintetliokolilia tlakuali akinmej uejka uitsej. Nochtin motlakentiaj ika inmialtepetsotsol.	17.8608
23	Se ixtlauaktsintli inauak tepeyo. Ik uejka nesi se kaltsintli uan miakej mila.	Se ixtlauak ika miakej kaltsitsintin, kiyaualojtok tepeyo uan mixtli.	40.8983
24	Se xochitl chilkostik uan iyolo kostik non kajki ijtik xiuitl.	Se kostik senpoalxochitl.	34.3736
25	Se xochitl siuatlapali ika ixochioayo istak.	Se matlalxochitl kualtsin uan se non yopitsuakik.	22.9706
26	Se atemoxtli uetsi ipan se tetl ika texontli uan okopetlatl.	Se ameyali uetsi ipan temej ijtik tepetl.	37.5137
27	Se talkamojtli ken se yollotl inauak okseki.	"Seki tlalkamojtli uan se motasneki ken se ""yolotl""."	37.0651
28	Se atoyatsintli tlatoka intsalan temej iuan xiuitl.	Se ueyatsintli ika temej tlen ipan tlapajpakaj.	30.3786
29		Seki altepetlakamej uan topilmej kitookaskej akin omomikili. Katej itlanpa se kuauitl uan ik uejka kajki se tepetl ika se ojtli itlajkotia.	0.0000
30	Se topitsin ika kuetlapil xoxoktik moneneloa ipan se tetsontli.	Se topiltsi okiski omototonito ipan se tetl.	37.0767
31	Se ameyali chalchiujyo kiyaualojtok kuajyo uan se kaltsintli itenko.	Se ateskatl inauak se kali. Kiyaualojtok kuajyo.	43.2101
32	Se atoyatl kiyaualojtok kuajyo. Ik uejka nesi se tepetl ika mixtli.	Ateskatl ika ateskilitl inauak kuajyo.	34.2588
