idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un río sereno refleja las rocas y vegetación de un cañón escarpado bajo un cielo claro.	Aitá há puye háne tsiere tek+a huyé tiuka háne mana te+teri memeuka neniere kiekari muwa heye mamaku.	Aitá há puye háne tsiere tek+a huyé tiuka háne mana te+teri memeuka neniere kiekari muwa heye mamaku.	4714,4371,2042,3869,1582,4491,8427,5006,7987,7841,8596,3875,4272,2832,2806,2775,1378,548,8642,5408,1895,2275,2829,4884,1670,5140,4626,5305,8333,4477,6381,3785,103,1191,4222,495,1853,3297,4441,6689	2,9,26,0,12,47,1,21,28,37,39,41,48,10,23,24,25,31,32,34	3240	38	3278	
1	Un sendero de tierra serpentea por una ladera rocosa, con escalones de piedra que descienden hacia un valle seco y montañoso bajo un cielo azul claro.	Huyé wixarika m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	Huyé wixarika húyeya m+ya ke m+tikuyeika, ya ane k+a huyé muta wewi hánu ku inet+ aitsie miku hánitsit+a.	4371,4221,3624,2042,3869,8596,548,4491,5709,2153,3875,3524,1582,7224,3558,8192,5305,14,5899,6188,7023,6717,2832,4714,8909,168,5832,5827,6692,5069,3159,210,1718,4707,5409,2775,7841,461,7653,1670	1,9,39,48,2,12,26,35,47,3,8,10,31,37,42,46,17,18,19,21	3317	46	3363	
2	Roca desnuda y fragmentada en una ladera escarpada bajo un cielo azul claro.	Huyé wixarika m+xuawe ya xeik+a neuxite hipat+ p+ kaka+yarixi.	Huyé muye hápane ya xeik+a aitá, yá p+ré huyé wixarika ya pauka muyé aník+.	298,3624,2042,3869,2806,1932,2951,7169,1582,6306,4371,8644,14,4714,4818,8234,101,5422,3524,5832,3985,1968,3153,4491,7841,8596,6773,7295,2073,2520,6533,8642,1595,6171,7813,2343,8871,3767,2992,2440	2,47,9,12,31,39,1,3,10,18,19,21,22,23,26,32,34,41,46,48	3283	30	3313	
3	Un sendero de tierra y piedras serpentea entre una cabaña de adobe con techo de paja y una casa pintada de azul con reja metálica, bajo la sombra de montañas rocosas.	Huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	Kiekari mukumáne huyé m+xuawe turuki m+ ka heuta háke tsie nait+ aix+ p+ ka tiu ane, reu yewet+ p+ áne x+ ka m+pa+ ti anenike nait+ kí aix+ p+ anenenike.	2305,2552,6523,2261,6809,6188,624,7953,5277,7355,461,644,7023,999,855,7133,3547,1120,1322,8484,3309,1619,8415,6773,6623,8864,4673,4639,3803,3046,4371,548,3071,5827,6692,4438,1043,8532,5709,5054	3,1,9,17,30,42,12,22,37,38,47,48,27,39,43,45,7,8,13,18	3426	62	3488	
4	Una mujer con vestido estampado y mochila sostiene a un niño mientras observa un autobús blanco con daño en la parte frontal, estacionado en una carretera de tierra junto a una ladera arbolada.	Uka m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	Turuki m+k+net+we wixaritari wa kie meu ti háke, heiwa m+ ti murike huyetá ú miet+ m+ kauye at+arieni huyetá meyu há yewa.	461,1718,2073,4707,6170,837,1466,3895,4080,6736,519,6906,6188,1083,7804,7599,3239,1066,855,8377,7228,3481,2205,745,443,4286,4760,3377,3921,3007,6415,8934,3767,6623,514,2814,3517,4255,7585,2343	4,1,7,15,8,22,30,31,37,3,9,17,23,32,42,45,46,5,13,18	3632	51	3683	
5	Dos personas llevan un cartel con una imagen del Papa Benedicto XVI frente a una iglesia con dos torres y un edificio rojo, en una calle con semáforo y vehículos.	Teyupanie ti tetewat+ muku ut+ka kiekari tsie tsepá kewa yak+ m+yeyeu ya xeik+a ám+yeyeu tsie muwa tsiere p+ rá yu ye xeiya.	Teyupanie titetewat+ mu ku út+ka kiekari tsie tsepá kewa yak+ m+yeyeu ya xeik+a ám+yeyeu tsie muwa tsiere p+ rá yu ye xeiya.	1718,4707,4760,3481,7528,5499,6625,3921,6601,524,755,461,6188,7503,5131,745,2594,2320,6170,1066,4116,664,1084,2778,6474,6096,8377,8558,3517,3007,1828,2613,610,855,4368,8546,2205,6596,1620,504	5,49,6,17,7,8,22,30,42,45,1,3,13,15,23,25,29,31,32,35	3595	56	3651	
6	Un vendedor empuja un carrito de comida por una plaza con edificios y árboles, mientras personas caminan o se sientan en bancos bajo un cielo nublado.	Xeit+ uki ti xeiya ya xeik+a m+ti xuawe kiekari tsie, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni, meuyeni	Kiekari m+tama te+teri me mayu ti xexe+riwa hi pat+ me xeiya ya xeik+a me xeiya tatuwani mewa yeka.	3869,8596,2022,4371,3640,7157,2806,2042,2153,1718,7841,1582,4512,103,3216,5131,548,4491,7466,5827,6601,5765,4714,461,6842,648,7224,8372,8642,694,8887,3567,5305,2829,1845,4707,3971,3875,1489,4454	6,24,32,34,48,1,5,7,8,12,18,28,39,47,2,3,9,10,15,17	3488	120	3608	
7	"Una calle estrecha con tiendas de persianas rojas y un letrero que dice ""AMADO NERVO"", donde personas caminan y una vendedora con traje tradicional atiende un puesto."	Teiwarit+a wixaritari mem+ tama ya xeik+a heiwa muwa meuyeneni te meu uwa heiwa yu ku aitanet+ heiwa yu ku há rerutanet+ mana tá kemari tsie puyu hek+a.	Teiwarit+a wixaritari mem+ tama ya xeik+a heiwa muwa meuyeneni te meu uwa heiwa yu ku aitanet+ heiwa yu ku há rerutanet+ mana tá kemari tsie puyu hek+a.	7528,1718,4707,6188,3921,304,4760,461,2320,6170,3481,1608,3007,2921,548,524,755,7023,2272,6509,8896,716,5305,4149,7370,1084,3895,3558,2261,6809,2153,88,5827,6692,210,8456,6474,1194,7843,7585	7,6,5,17,24,30,42,1,3,4,8,9,10,13,15,16,18,19,22,23	3472	59	3531	
8	Un taxi amarillo circula por una carretera junto a una fábrica con chimeneas que emiten humo, rodeada de palmeras y cercada.	Há tsukari ma wewiya kiekari hix+apa ya xeik+a mana uwá p+ tuiyane turuki tsixi wa hetsie wa+ kawat+, taxari manuye k+ka ya witárita.	Há tsukari ma wewiya kiekari hix+apa ya xeik+a mana uwá p+ tuiyane turuki tsixi wa hetsie wa+ kawat+, taxari manuye k+ka ya witárita.	6906,7804,519,4707,6188,7953,4375,7224,8192,1211,1718,2272,6509,8896,1466,5203,3895,4286,2744,3007,1083,1357,2359,4760,3481,716,1066,6931,8874,55,7023,548,4810,1602,461,682,5222,811,3921,8510	8,7,9,15,22,23,31,32,42,45,46,1,4,16,17,19,29,30,34,37	3428	53	3481	
9	Un sendero serpentea por las laderas de montañas secas bajo un cielo azul con nubes dispersas.	Huyé wixarika h+ritsie m+ya ke m+tikuyeika, ya xeik+a neuxite hipat+ p+ kaka+yarixi.	Turuki huyeya yemuri ut+a kwauxa tsie reyetewakaku kiekari mukutetewa ya tiu anekaku meuyeneni.	7527,4221,4714,8596,2042,3869,4371,1582,4491,5469,5006,3624,2153,1043,5232,1619,1683,3524,5832,7841,4388,5069,940,2806,5827,6692,3547,4624,5174,8233,8741,2951,7169,5131,3558,3875,168,3424,4728,7104	9,12,33,47,48,1,21,31,39,2,23,28,32,34,35,41,42,43,3,8	3342	40	3382	
