id	prediction	reference	chrfpp_sentence
0	Kambuchi ha guampa ojejapóva yvyrágui, oñemoĩva peteĩ poyvi ári, ojeipurúva terere ha ka'ay ryrurã.	Tereré ekípo oĩva poyvi ári peteĩ korapy yvýrayty mbytépe: peteĩ térmo vakapíregui mbojegua pyre, guámpa yvyragui ojejapopyréva ha vombílla kuarepotigui.	22.3049
1	Kuña ha kuimba'e ra'anga ita morotĩgui ojejapóva, oñemopu'ãva peteĩ yvyra ári, ohechaukáva ñane retã rembiasakue ha ñande reko tee.	Las Residentas ñemomora, 1979-pe guare, Luque ha Paraguay oja mbytépe, ha'e hína peteĩ estátua aty omomba'eguasúva kuña Paraguái py'aguasu omoĩ va'ekue ñane retã oñembo'y jey haguã.	20.5209
2	Ko'ápe ojehecha peteĩ mercado oñevendéva manduvi, pohã ñana ha opaichagua temitỹ.	Peteĩ pohã ro’ysã térã pohã ñana renda, ojeipurúva matépe ha tererépe g̃uarã, oĩva Mercado 4-pe Paraguaýpe; upépe ojekuaa Paraguái pohã ñana jepokuaa.	18.0755
3	Ko'ápe ojehecha Mercado 4-pe, oñemúva mandi'o ha pohã ñana, ojeipurúva tererépe g̃uarã.	Peteĩ mésa ohechaukáva opaichagua Paraguái pohã ro’ysã térã pohã ñana-nguéra, ojekuaahápe ñande ypykuéra arandu pohã ñana heko oipurúva hikuái.	18.6623
4	Peteĩ ta'anga ojejapóva yvyrágui, oñemonde ao morotĩ ha ao pytãme, oguerekóva ipópe guampa morotĩ ha vombílla kuarepotigui. Iñakãre oguereko korona itaju ha kurusu, ha oñemoĩ ao po'i morotĩ ári.	San Blás yvyra ra'anga, Paraguái retã rerekua, oreko irosário ijao puku morotĩ ári ha peteĩ apeao pytã; ipópe oguereko Tupã Ñe'ẽ ryru ha váculo; peteĩ tataindy itatĩ altár ykére, peteĩ mésa ao morotĩ croché enkáhegui ári.	27.9120
5	Ava kuéra omba'apo hína peteĩ óga yvyra ha siménto rehe, oiporúvo tembiporu ha kambuchi omyatyrõ hag̃ua.	Mbohapy óga apoha omba'apóva hína peteĩ guatarã apópe, tápia yke yváteva renondépe; ijerére oĩ ryru ha tembipuru-nguéra, peteĩ ára haku porãvápe.	23.9038
6	Peteĩ ava oguata hína tatapỹi akúre, py nandi, peteĩ ritual ojejapóva San Juan árape.	"Peteĩ kuimba'e oguata hína tatapỹi ári; ""Tata ári jehasa"" niko peteĩ ritúal, peteĩ ñe'ẽ me'ẽ ha avei aguyje San Juan-pe iára guasúpe."	30.9964
7	Tatapyi ári jehasa, peteĩ ritual ojejapóva San Juan árape, ohechaukáva jerovia ha py'aguasu.	"Peteĩ ""pelota tata"" hendýva hína yvy ári; peteĩ ñembosarái oikóva San Juan árape, ojejapóva aokue vakapipópogui oñembohykuéva komvustíblepe, hendýva ha oñemombóva chúta hápe."	24.5043
8	Chipa, tembi'u ojejapóva aramirõ ha kesúgui, oñemoĩ peteĩ ao morotĩ ári, ha'éva tembi'u ojehayhuvéva ñane retã Paraguáipe.	Peteĩ chípa, ojejapóva aramirõ ha kesúgui, oĩva kuatia jurukytyha ári, ha'e hína ñane rembi'u teete, ojehayhuvéva ha omohe’ẽva ñande reko.	44.9712
9	Óga okaháre ojejapóva yvyrágui ha hi'ári kapi'i, oĩva yvyrakuéra apytépe, ha ijerére oĩ tapichakuéra oñembyatýva.	"""Opygua"", hérava avei ""opy"", ha’e Mbya Guaraníkuéra ñembo’e renda, peteĩ tenda marangatu ojejapohápe heta mba'e ijerovia rehegua, oñemombarete hag̃ua imba'eteete."	15.0791
10	Chipa, tembi'u paraguái teete ojejapóva aramirõ ha kesúgui, ha'e hína peteĩ tembi'u ojehayhuvéva Paraguáipe.	Sópa Paraguái niko peteĩ mbujapemi avevo ha rorã, ojejapóva avatiku'i, kesú, ryguasu rupi'a ha kambýgui; ojoguave peteĩ mbujape térã mbujape he'ẽpe ha ndaha'éi tembi'u hykue.	23.8085
11	Mandi'o ha arró, tembi'u paraguái teete, oje'úva maymáva árape ha omoirũva opaichagua tembi'u.	Chupín ryguasu arró kesú ndive: peteĩ jukysy rãicha ojejapóva kamby ñandýguinte, ka'avo ha papandi; oje'u arró kesú teetendi, orekóva kámby ha kesú Paraguái heta porã.	17.4836
12	Chipa guasu, tembi'u paraguái teete, ojejapóva avati ku'i, kesu ha so'ógui, oje'úva asado ha tembi'u he'ẽ asýva ndive.	Sopa ryguasu ha'eko hína pe sópa paraguái oñemyenyhẽva pe ñemongu'éva ryguasu so'o ha ka'avokuéra ndive.	23.7140
13	Ko'ápe ojehecha heta mba'e porã ojejapóva pópe, oĩ guampa ha takuapi sa'y hetáva oñemosãingóva, ñandutí ha ao po'i oñembosa'y porãva.	Ñai'ũ apo renda Areguápe, heráva avei ñai'ũ rembiapo táva; upépe ojekuaa opaichagua mba'e, y syry jeguakuéra korapýpe g̃uarã ha ambue hembiapo porãita sa'yitáva.	20.2216
14	Peteĩ mésa yvyrágui ojejapóva, hi'ári oĩ heta mburukuja hovyũ asýva, oñembyatýva peteĩ aty guasúpe, ha'ete ku oĩva peteĩ tenda okaháre.	Aguakáte ijýva ojehechaukáva tape ykére. Ko yva oñemomba’eguasu ikyra porã haguére ha he’ẽ asy rupi.	16.5216
