idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un gato atigrado duerme en una cama para mascotas de tela con estampado geométrico, sobre una superficie con diseño floral en tonos rosados y azules.	Chan míis ku weenel yook'ol u nook'il u we'enel.	Juntúul miis ku weenel	10864,10862,10830,10825,10833,10847,10859,10870,10863,10846,10824,10861,10840,5591,2634,10828,10405,10844,4666,10857	11,40,2,22,24,25,34,37,39,6,7,13,14,15,18,20,21,23,26,30,31,36,41,42,43,47,48,49,1,3,4,8,9,16,17,19,28,32,33,35,38,44,46,5,10,12,27,29,45	5653	21	5674	
1	"La imagen muestra un libro titulado ""Diccionario de uso del Maya Yucateco"" con una portada que incluye una fotografía de un árbol y un cartel con texto manuscrito. A su lado, hay una carta de la Universidad Iberoamericana de Yucatán (UIIYOROO) dirigida a Eduardo José Ake Pool, estudiante de la licenciatura intercultural maya."	Le lela' junp'éel ju'un tu'ux ku ye'esik biix u ts'íibta'al le t'aano'obo'.	Junp'éel áanalte' ich maaya t'aan.	10840,10868,10842,10843,10854,10871,10870,10845,10866,10862,10829,10846,10865,10859,10861,10848,10863,10864,10824,9667	13,34,6,7,18,20,48,21,23,27,43,49,2,9,10,14,22,24,32,37,39,44,0,11,12,15,19,25,26,30,31,36,38,40,41,42,46,47,5,16,17,28,29,33,35,45,3,4,8	5597	38	5635	
2	Tres personas interactúan alrededor de una laptop en un espacio con mesas y proyector; una mujer con un lazo en el cabello y un hombre con camisa blanca están inclinados sobre la pantalla, mientras otra persona de camisa roja se encuentra de pie detrás de ellos.	Óoxp'éel máako'ob táan u xooko'ob yóok'ol jump'éel laptop, tu paachile' yáan jump'éel proyector.	Oxtúul máak tu táan junp'éel computadora.	10828,10863,10848,10843,10862,10859,10839,10833,10854,10858,10846,10861,10856,10855,10857,10869,10852,10844,5417,10840	6,36,34,37,40,41,11,21,22,24,13,17,25,26,30,33,49,0,7,15,20,23,32,39,43,47,48,1,4,10,12,14,16,18,19,28,31,35,44,5,9,27,29,38,42,46,3,8,45	5625	45	5670	
3	Una taza negra de cerámica con líquido oscuro está sobre una superficie de madera oscura.	Junp'éel éek' k'at yaan yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	10830,10864,10860,10845,10863,10862,10822,10840,10856,10835,10828,10847,10846,10842,10844,10869,10834,4886,10827,10859	8,34,40,0,6,13,18,22,23,24,25,38,41,42,2,5,7,11,12,17,20,21,26,37,39,43,47,1,4,9,14,15,16,27,30,31,32,33,35,36,44,46,48,49,10,19,28,29,45	5385	19	5404	
4	Varias cajas de madera, posiblemente colmenas, están dispuestas sobre soportes en un terreno de tierra con vegetación seca al fondo. De algunas cajas sale humo blanco.	Ya'ab k'áax ku jóok'ol u buuts'il.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	10852,10853,10865,10843,10861,10858,10848,10851,10834,10833,10859,10866,10847,10660,4407,10836,10856,10824,10841,10829	36,43,2,11,14,19,21,24,25,29,30,31,34,37,39,49,0,7,15,22,26,40,44,45,47,48,6,12,13,16,17,18,20,23,28,35,38,41,42,46,1,3,5,8,9,10,27,32,33	5668	18	5686	
5	Una botella de plástico transparente con tapón azul está apoyada en el suelo junto a una persiana metálica oxidada.	Junp'éel botella de plástico yaan u t'aab azul.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	10865,10834,10860,10839,10842,10840,10846,10862,10863,10829,10835,10847,10830,10852,10825,10854,10858,10871,10843,10869	43,12,13,6,7,17,20,21,25,40,49,18,22,24,30,34,36,37,38,39,2,11,15,23,26,32,33,41,47,0,1,3,8,9,10,14,16,28,31,35,42,44,45,46,48,4,19,27,29	5498	17	5515	
6	Una persona con ropa oscura está de pie en una sala con mesas y sillas, frente a un soporte que sostiene una luz rectangular brillante. En primer plano hay una mochila negra y el ambiente es un espacio interior con iluminación artificial y ventanas.	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	10824,10831,10863,10865,10846,10862,10848,10870,10869,10844,10830,10825,10833,10840,10857,10859,1916,10843,10835,10860	2,13,43,21,22,24,34,40,1,9,11,25,26,30,37,41,48,49,5,7,12,14,15,17,18,20,23,36,39,47,0,19,27,28,31,32,33,35,38,42,3,8,10,16,29,44,45,46,4	5542	21	5563	
7	Un árbol con flores rosadas crece junto a un muro de concreto en un terreno con hierba seca, bajo un cielo azul claro. A la izquierda, una palmera y un poste de madera completan la escena.	Junkúul sakchak lool yaan tu tséel junp'éel koot, tu paachile' yaan junp'éel xa'an.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	10866,10871,10842,10865,10843,10854,10847,10868,10832,10835,10867,10863,10844,10856,10853,10840,10861,10862,10834,10841	49,13,20,44,43,21,25,34,10,1,12,18,22,31,32,36,39,46,2,5,6,9,11,15,19,23,24,30,37,40,41,45,0,14,26,27,28,38,42,47,48,4,16,17,29,33,35,3,8	5467	38	5505	
8	Una araña negra está sobre una superficie blanca, cerca de una pared con textura de mármol claro.	Juntúul boox am yaan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	10825,10864,10835,10860,10846,10859,10834,10822,10840,10828,10870,10871,2134,10862,10845,10863,10843,10827,4666,10866	3,42,13,24,0,6,12,18,21,34,37,38,40,2,5,7,11,17,22,23,25,26,27,39,41,43,44,47,48,49,1,4,9,14,15,16,20,30,31,32,33,35,36,46,10,19,28,45,29	5547	22	5569	
9	Una mano sostiene una flor rosa con pétalos delicados frente a un fondo de palmeras y cielo azul.	Juntúul máak ku machik junp'éel lool sakchak.	Le lela' jump'eel sakchak' lol.	10868,10828,10871,10853,10863,10859,10870,10864,10835,10834,10838,10840,10846,10862,10855,10865,10854,10866,10837,10856	6,49,7,13,18,31,34,37,43,1,10,12,15,20,21,24,25,32,36,39,40,41,42,44,46,48,0,2,11,14,16,22,23,26,30,33,47,5,17,19,27,28,35,38,45,3,4,8,29	5541	19	5560	
